"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.6","1230","1237","16301","16301","16301","True","-1.4","none","33.88","14.43","35.31","45.4","46","98.5","31.14","True","21.047","18.2732","18.5314","0.2583","3282367732874.1533","FLOP/s","True","35","39","0x0000000000000001;0x0000000000000000"
"1395","1393.5","1387","1395","16301","16301","16301","True","-1.5","none","37.22","10.4","38.55","44","44","99.7","33.7","True","18.844","16.2312","16.4632","0.232","3695295462753.5986","FLOP/s","True","31","35","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","39.39","14.11","40.86","44","44","100","35.29","True","17.205","14.7007","14.941","0.2403","4080037549937.8296","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","44.9","25.37","46.3","44.2","45","98.3","39.87","True","16.169","13.3146","13.5083","0.1937","4504754334372.332","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","49.86","20.34","52.96","45.3","46","99","43.57","True","14.519","12.2504","12.4239","0.1735","4896105642376.5205","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","60.71","19.62","63.82","46.7","47","99.4","52.3","True","13.453","11.2948","11.4321","0.1373","5310338696509.826","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2151","2145","2152","16301","16301","16301","True","-16.1","none","63.47","22.92","66.42","47.2","48","100","54.26","True","12.926","10.6623","10.8086","0.1463","5625345677791.013","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2317","2283.7","2280","2287","16301","16301","16301","False","-33.3","below","65.92","31.19","68.85","47.5","48","98.2","55.86","True","12.342","10.1249","10.2562","0.1313","5923921153643.93","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2475","2460","2460","2460","16301","16301","16301","True","-15","none","69.98","37.42","72.96","48.4","49","100","58.79","True","11.893","9.3918","9.5309","0.1391","6386305917310.226","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2625","2594.5","2587","2595","16301","16301","16301","False","-30.5","below","72.27","35.71","75.73","48.8","50","100","60.48","True","11.338","8.9732","9.1154","0.1422","6684227195656.515","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","79.51","43.35","83.11","49.9","51","100","65.16","True","10.772","8.2225","8.3329","0.1103","7294493192562.071","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","84.54","10.1","94.92","50.8","52","93.6","73.23","True","10.234","7.7875","7.889","0.1014","7701945154115.54","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"3090","3015","3015","3015","16301","16301","16301","False","-75","below","98.76","45.02","104.15","53.4","54","100","79.55","True","9.679","7.557","7.6415","0.0844","7936889169805.707","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
