"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1234.3","1230","1237","15440.4","810","16301","True","-2.7","none","58.46","6.41","65.47","44.4","45","92.1","51.61","True","11.912","9.5278","9.6677","0.14","201131880638.57422","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1395","1394.1","1387","1395","15389.8","810","16301","True","-0.9","none","60.18","6.86","67.48","43.7","44","91.7","52.15","True","10.753","8.9861","9.1416","0.1556","213257314043.09622","FLOP/s","True","17","20","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","62.51","8.43","70","43.6","44","97.1","53.98","True","10.245","8.4093","8.5497","0.1404","227882811215.13583","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","69.01","16.41","75.68","44.1","45","99.6","58.75","True","9.677","7.9177","8.015","0.0973","242032778829.9685","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","72.53","8.93","82.8","44.4","45","95.8","62.66","True","9.673","7.6181","7.7122","0.0941","251550897971.81113","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15194.5","810","16301","True","-8","none","79.34","8.45","90.58","45.3","46","92.9","66.98","True","9.187","7.4325","7.5372","0.1047","257833800878.90067","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2167","2136.6","2130","2145","16301","16301","16301","False","-30.4","below","81.66","11.81","91.48","45.4","46","97.3","68.73","True","9.17","7.3723","7.47","0.0977","259937527610.24496","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2317","2263.8","2257","2272","15194.5","810","16301","False","-53.2","below","77.42","7.89","92.43","45.5","47","91.7","65.62","True","9.165","7.3235","7.4263","0.1028","261670504681.9192","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2475","2432.6","2430","2452","16301","16301","16301","False","-42.4","below","84.6","15.79","94.22","45.8","47","95.4","71.15","True","9.141","7.2505","7.3445","0.094","264303282416.9579","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2625","2561.4","2550","2595","15194.5","810","16301","False","-63.6","below","80.59","9.09","94.77","46","47","92.9","68.02","True","9.181","7.2152","7.3298","0.1146","265597325564.10748","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2782","2767.6","2767","2775","16301","16301","16301","True","-14.4","none","85.8","15.82","96.3","46.6","47","94.9","72.38","True","9.177","7.1479","7.2532","0.1053","268100018216.63696","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","89.69","10.49","102.09","47.2","48","94.8","76.09","True","9.211","7.0787","7.1823","0.1037","270721357148.47208","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","3015.5","3015","3022","15109.4","810","16301","False","-74.5","below","95.64","10.42","108.24","47.8","49","92.3","81.33","True","9.169","7.047","7.1536","0.1065","271936171070.1069","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
