"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.6","1230","1237","16301","16301","16301","True","-1.4","none","51.45","11.2","54.18","48.7","49","97.9","47.99","True","20.485","18.0532","18.3074","0.2542","4678431735518.166","FLOP/s","True","34","38","0x0000000000000001;0x0000000000000000"
"1395","1393.5","1387","1395","16301","16301","16301","True","-1.5","none","55.94","7.15","59.89","47.8","49","97.2","51.62","True","18.298","16.0183","16.2359","0.2176","5272756777836.791","FLOP/s","True","31","34","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","62.63","30.11","64.92","48.2","49","99.1","55.5","True","16.671","14.5046","14.6963","0.1917","5823013472665.025","FLOP/s","True","27","31","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","70","7.98","76.26","49.2","50","95.6","63.67","True","15.588","13.1434","13.3627","0.2193","6426088485559.46","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15627.5","810","16301","True","-7","none","80.1","7.78","89.75","50.7","52","93.3","72.43","True","14.519","12.0872","12.2691","0.1819","6987593399696.721","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15563.3","810","16301","True","-8","none","97.66","8.29","106.48","52.7","55","92.1","87.2","True","13.437","11.141","11.2985","0.1575","7581037275384.037","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2159.2","2145","2160","15526.4","810","16301","True","-7.8","none","100.99","8.26","111.73","53.6","56","92.4","89.7","True","12.938","10.4974","10.685","0.1877","8045883143557.956","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2317","2304.2","2280","2310","15485.7","810","16301","True","-12.8","none","104.76","9","117.45","54.6","57","92.8","92.77","True","12.41","9.9435","10.1039","0.1604","8494064101167.315","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","15440.4","810","16301","True","-8","none","109.42","8.48","126.52","56","58","92.4","95.19","True","11.294","9.2118","9.3488","0.137","9168762160618.96","FLOP/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2625","2614.5","2602","2617","16301","16301","16301","True","-10.5","none","117.33","8.66","132.83","56.9","59","93.2","101.2","True","10.825","8.7719","8.9195","0.1476","9628489794091.867","FLOP/s","True","17","20","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","129.65","24.07","144.38","58.3","60","100","111.58","True","10.255","8.0447","8.1537","0.1089","10498838736532.781","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","15268.3","810","16301","True","-7","none","139.95","9.48","166.86","60.5","64","90.5","118.2","True","9.692","7.6326","7.754","0.1214","11065794930838.768","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"3090","2982.5","2977","3015","16301","16301","16301","False","-107.5","below","160.09","19.08","181.58","63.7","66","99.1","136.58","True","9.685","7.4891","7.5991","0.11","11277860603567.172","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
