"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","43.29","18.88","44.73","43.9","44","98.9","39.53","True","21.066","18.0795","18.3361","0.2566","2865241072320.6494","FLOP/s","True","34","39","0x0000000000000001;0x0000000000000000"
"1395","1393.1","1387","1395","16301","16301","16301","True","-1.9","none","46.57","22.83","48.02","43.9","45","96.5","41.98","True","18.848","16.033","16.2827","0.2497","3230978258681.7793","FLOP/s","True","30","35","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","48.98","19.33","51.57","44.4","45","97.3","43.68","True","17.191","14.5221","14.7537","0.2316","3567115864257.3076","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","60.57","30.55","62.81","45.8","47","97.7","53.3","True","15.574","13.1555","13.3593","0.2038","3937670661368.834","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","70.46","35.57","73.18","47.3","48","98.5","61.12","True","14.505","12.1038","12.3085","0.2047","4279827629201.058","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","84.03","44.58","87.19","49.7","51","100","71.87","True","13.454","11.1636","11.3391","0.1756","4640286231497.191","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2155.2","2152","2160","16301","16301","16301","True","-11.8","none","87.52","41.83","92.15","50.7","52","98.3","74.33","True","12.927","10.5186","10.7156","0.197","4924801332198.545","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2317","2301.6","2295","2302","16301","16301","16301","True","-15.4","none","91.53","44.08","95.73","51.7","53","99.2","77.08","True","12.418","9.967","10.1025","0.1355","5197367341868.597","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","99.81","42.87","104.95","53.1","54","98.1","83.3","True","11.835","9.2109","9.3383","0.1274","5624011766247.577","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2625","2615.7","2602","2617","16301","16301","16301","True","-9.3","none","99.24","26.02","108.94","53.7","55","100","86.61","True","11.357","8.7794","8.9055","0.1261","5900422835327.416","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15332.8","810","16301","True","-7","none","103.65","9.12","117.1","53.8","56","91.2","88.73","True","10.232","8.0563","8.1546","0.0982","6429989922214.493","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","117.74","10.34","133.91","56.5","59","92.5","99.67","True","9.67","7.6468","7.7497","0.1028","6774348128042.911","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"3090","2990.2","2977","3022","15268.3","810","16301","False","-99.8","below","123.42","11.2","145.01","58.6","61","91.5","104.45","True","9.697","7.4873","7.5753","0.0879","6918621249398.199","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
