"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.2","1230","1237","16301","16301","16301","True","-1.8","none","71.62","14.5","77.76","45.7","46","97.2","63.88","True","12.383","10.2732","10.4695","0.1963","1665226430333.0566","FLOP/s","True","20","23","0x0000000000000001;0x0000000000000000"
"1395","1392.8","1387","1395","16301","16301","16301","True","-2.2","none","75.19","18.93","81.87","46.1","47","95.2","67.12","True","11.879","9.4789","9.6141","0.1352","1804757452664.0547","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","15440.4","810","16301","True","-8","none","76.44","12.7","83.31","45.8","47","90","67.49","True","11.324","9.2851","9.4424","0.1573","1842430974043.427","FLOP/s","True","18","21","0x0000000000000001;0x0000000000000000"
"1702","1694.6","1687","1695","15440.4","810","16301","True","-7.4","none","74.05","12.64","82.9","45.8","47","91.9","66.11","True","11.804","9.4207","9.5712","0.1506","1815920406364.537","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1852","1844.6","1837","1845","16301","16301","16301","True","-7.4","none","76.56","15.98","83.54","46.2","47","96.3","67.46","True","11.341","9.396","9.5272","0.1313","1820691698754.3389","FLOP/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","80.96","25.44","87.48","46.4","47","94.5","71.06","True","10.767","8.805","8.951","0.146","1942887312652.5444","FLOP/s","True","17","20","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","15332.8","810","16301","True","-7","none","86.79","14.92","97.27","47.5","49","93","75.44","True","10.182","8.1654","8.2984","0.133","2095074615495.1418","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","97.84","18.67","108.99","48.9","50","95.5","84.36","True","9.675","7.7937","7.8995","0.1058","2195005501006.8591","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","15636.7","7001","16301","True","-8","none","105.91","19.26","120.03","50.4","52","92.1","92.26","True","9.745","7.6314","7.7306","0.0993","2241689768873.315","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2625","2588.5","2587","2610","16301","16301","16301","False","-36.5","below","108.72","20.16","120.67","50.9","52","94.3","93.84","True","9.668","7.6372","7.7438","0.1066","2239983371555.0386","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16315.3","16301","16501","True","-7","none","114.49","21.42","130.21","52.4","54","92.1","99.85","True","9.667","7.5748","7.6816","0.1068","2258443143763.3223","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2932","2917.6","2917","2925","16301","16301","16301","True","-14.4","none","126.81","41.81","139.7","54","55","96.2","110.36","True","9.691","7.5486","7.6675","0.1189","2266260303056.29","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"3090","2974.1","2970","2992","15636.7","7001","16301","False","-115.9","below","122.74","23.95","140.45","54.3","56","92.1","107.26","True","9.722","7.5432","7.6534","0.1102","2267893302735.08","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
