"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.9","1230","1237","16301","16301","16301","True","-1.1","none","65.34","12.45","69.42","47.1","48","94.3","61","True","19.342","16.844","17.1104","0.2664","3749091379111.9565","FLOP/s","True","32","36","0x0000000000000001;0x0000000000000000"
"1395","1392.1","1387","1395","16301","16301","16301","True","-2.9","none","71.28","15.39","75.74","47.2","48","97.5","66.01","True","17.176","14.8245","15.0697","0.2452","4259835194596.518","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","15929","7001","16301","True","-8","none","75.33","14.22","81.69","47.3","48","94.5","69.18","True","15.621","13.3206","13.5241","0.2035","4740752369349.329","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","80.68","22.25","85.98","47.7","49","96.3","72.91","True","13.978","12.0648","12.2709","0.2061","5234238271831.74","FLOP/s","True","23","26","0x0000000000000001;0x0000000000000000"
"1852","1844.6","1837","1845","16301","16301","16301","True","-7.4","none","83.66","15.52","90.51","48.4","49","97.3","75.48","True","13.44","11.0702","11.2345","0.1644","5704515254882.278","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","88.19","14.69","95.78","48.9","50","96","78.66","True","12.276","10.2391","10.3945","0.1554","6167513808684.139","FLOP/s","True","20","23","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","15440.4","810","16301","True","-7","none","100.02","15.23","111.75","50.6","52","93.7","87.96","True","11.352","9.3312","9.4558","0.1246","6767582702336.892","FLOP/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","114.48","17.49","126.17","52.6","54","93.5","99.9","True","10.712","8.6999","8.8418","0.1419","7258667122721.783","FLOP/s","True","17","20","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","136.13","47.24","147.31","55.6","57","95.1","118.11","True","10.26","8.1011","8.254","0.1529","7795256579132.597","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2625","2593.3","2587","2610","15681","7001","16301","False","-31.7","below","134.18","19.97","152.32","55.8","58","92.6","115.14","True","9.664","7.8032","7.9041","0.1008","8092798317871.299","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2782","2725.9","2692","2775","16301","16301","16301","False","-56.1","below","153.25","52.14","169.15","58.4","60","96.3","130.27","True","9.654","7.3817","7.4915","0.1099","8554943950461.246","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2764.1","2692","2925","16301","16301","16301","False","-167.9","below","148.67","26.27","165.47","58.1","61","94.8","128.59","True","9.658","7.3698","7.4791","0.1093","8568765193471.007","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2753.9","2685","3000","15636.7","7001","16301","False","-336.1","below","150.7","24.11","169.6","58.1","61","89.8","128.69","True","9.709","7.3675","7.4901","0.1226","8571406942486.11","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
