"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.6","1230","1237","16301","16301","16301","True","-1.4","none","35.38","34.95","35.74","44.2","45","97","33.09","True","24.046","21.0238","21.3063","0.2825","2852918748416.7383","FLOP/s","True","39","45","0x0000000000000001;0x0000000000000000"
"1395","1393.6","1387","1395","16301","16301","16301","True","-1.4","none","37.38","23.05","38.33","42.9","43","97.3","34.9","True","21.343","18.4874","18.7038","0.2165","3244336929518.706","FLOP/s","True","35","40","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1545","1543.5","1537","1545","16301","16301","16301","True","-1.5","none","39.44","24.53","40.78","41.9","42","98","36.46","True","19.249","16.5512","16.7704","0.2193","3623868236406.486","FLOP/s","True","32","36","0x0000000000000001;0x0000000000000000"
"1702","1700.8","1695","1702","16301","16301","16301","True","-1.2","none","40.63","19.93","42.06","41.9","42","98","37.24","True","17.63","15.0853","15.3004","0.2151","3976009797090.6904","FLOP/s","True","29","33","0x0000000000000001;0x0000000000000000"
"1852","1850.7","1845","1852","16301","16301","16301","True","-1.3","none","43.07","29.42","44.14","41.9","42","97.8","39.26","True","16.533","13.8886","14.0455","0.1569","4318603866933.1143","FLOP/s","True","26","31","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","45.47","31.1","46.85","42","42","97.8","41.12","True","15.453","12.7091","12.8745","0.1654","4719382904445.534","FLOP/s","True","24","29","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","52.16","30.52","54.4","43.1","44","99","46.33","True","13.987","11.5732","11.6999","0.1268","5182617658222.721","FLOP/s","True","22","26","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","61.32","38.42","63.7","44.6","46","99.2","53.74","True","12.941","10.6194","10.7513","0.1318","5648058759471.156","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","69.34","46.6","72.3","46.4","47","97.5","60.39","True","12.347","10.0239","10.147","0.1232","5983640793052.665","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2625","2602.4","2602","2610","16301","16301","16301","True","-22.6","none","72.63","55.07","76.25","47.2","48","97.4","63.38","True","11.762","9.5346","9.6641","0.1296","6290722633119.034","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","83.23","46.83","88.18","48.9","50","99.2","71.35","True","11.228","8.8155","8.9492","0.1337","6803837156517.253","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","95.92","68.21","99.44","51.1","52","97.3","81.97","True","10.748","8.3522","8.4478","0.0955","7181227558206.321","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"3090","2992","2992","2992","16301","16301","16301","False","-98","below","94.92","47.92","101.43","51.5","52","97.1","80.72","True","10.665","8.2498","8.3452","0.0954","7270408147542.607","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
