"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.3","1230","1237","16301","16301","16301","True","-0.7","none","42.78","36.37","43.69","42.8","43","98.1","39.54","True","24.016","20.7883","21.1106","0.3224","2491892384340.9756","FLOP/s","True","39","45","0x0000000000000001;0x0000000000000000"
"1395","1394.1","1387","1395","16301","16301","16301","True","-0.9","none","45.15","22.76","46.42","42.4","43","98.6","41.74","True","21.363","18.3017","18.5189","0.2172","2830449479013.18","FLOP/s","True","35","40","0x0000000000000001;0x0000000000000000"
"1545","1538.3","1537","1545","16301","16301","16301","True","-6.7","none","48.29","27.9","49.67","42.6","43","97.8","44.29","True","19.331","16.3206","16.5492","0.2286","3174025211477.6646","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","52.46","34.96","54.67","42.8","43","96.6","47.51","True","17.247","14.7352","14.9548","0.2195","3515532333396.0596","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","55.65","23.86","57.79","43.4","44","97.8","49.9","True","16.229","13.5748","13.7822","0.2074","3816051640510.0376","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","60.04","31.78","63.08","43.9","45","97.4","53.4","True","15.127","12.4058","12.6279","0.2221","4175639919470.269","FLOP/s","True","23","28","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","68.26","30.79","71.55","45.7","46","98","59.94","True","13.868","11.4932","11.6565","0.1632","4507188148855.975","FLOP/s","True","22","26","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","80.93","39.17","85.41","47.6","49","97.6","70.07","True","13.364","10.639","10.791","0.152","4869098689375.908","FLOP/s","True","20","25","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","95.44","46.66","103.82","50.1","51","98","82.18","True","12.312","9.8089","9.9364","0.1275","5281160538722.744","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2625","2610","2610","2610","16301","16301","16301","True","-15","none","100.39","71.06","103.66","51.1","52","96.6","86.06","True","11.741","9.517","9.6404","0.1234","5443103160757.354","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","110.82","45.44","120.06","53.6","55","99.1","94.13","True","11.22","8.7031","8.8253","0.1223","5952177471532.614","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","129.41","73.74","137.4","56","58","96.1","108.46","True","10.694","8.2641","8.3582","0.0941","6268337373597.598","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"3090","2984.6","2962","2992","16301","16301","16301","False","-105.4","below","129.09","54.58","140.26","57.4","59","98.9","108.43","True","10.759","8.1007","8.1918","0.0911","6394760501037.752","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
