"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","16301","16301","16301","True","-0.8","none","54.4","39.31","55.69","44.6","45","98.4","49.31","True","21.443","18.3173","18.5881","0.2708","7203086345902.097","FLOP/s","True","34","40","0x0000000000000001;0x0000000000000000"
"1395","1389.6","1387","1395","16301","16301","16301","True","-5.4","none","57.55","21.82","60.16","45.3","46","97.7","52.47","True","19.311","16.1789","16.416","0.2371","8155127509888.101","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","64.71","31.28","67.16","46","47","99","58.51","True","17.705","14.5804","14.788","0.2076","9049260255011.543","FLOP/s","True","28","33","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","73.2","47.19","75.28","47.7","49","97.8","65.61","True","16.07","13.0501","13.2482","0.1981","10110343751053.918","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","87.21","50.95","91.06","49.7","51","99","76.74","True","14.49","11.8752","12.0078","0.1326","11110649533622.613","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","102.09","56.48","106.33","52.4","53","98.3","88.54","True","13.405","10.8815","11.0173","0.1358","12125319088822.465","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2151.3","2145","2152","16301","16301","16301","True","-15.7","none","112.35","65.61","117.55","53.8","55","97.5","97.03","True","12.88","10.3229","10.4492","0.1263","12781382302343.389","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","124.99","78.89","131.03","56.6","58","98.5","106.43","True","11.879","9.2777","9.4149","0.1372","14221284000543.582","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2475","2460.8","2460","2467","16301","16301","16301","True","-14.2","none","140.91","40.45","150.29","59.3","61","95","118.35","True","11.255","8.8508","8.9933","0.1425","14907227761206.59","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2625","2610","2610","2610","16301","16301","16301","True","-15","none","150.95","64.85","162.24","61.1","63","97","125.38","True","10.744","8.3654","8.5043","0.139","15772368297560.133","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2743.4","2737","2745","16301","16301","16301","False","-38.6","below","161.02","105.1","168.73","62.4","64","99","133.75","True","10.702","8.0236","8.1784","0.1549","16444211885350.168","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"2932","2868.3","2842","2872","16301","16301","16301","False","-63.7","below","164.13","67.77","177.71","62.8","65","99","135.07","True","10.165","7.7249","7.8193","0.0944","17080079044577.86","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
"3090","2910.4","2887","2932","16301","16301","16301","False","-179.6","below","171.56","103.56","183.94","64.1","66","95.2","141","True","10.241","7.5887","7.6881","0.0994","17386625592792.21","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
