"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.3","1230","1237","13182.4","810","13801","True","-0.7","none","47.74","11.98","52.23","41.8","42","92.4","43.29","True","13.052","11.0036","11.1797","0.1761","290087023016.93866","byte/s","True","21","24","0x0000000000000000"
"1290","1289.6","1282","1290","13182.4","810","13801","True","-0.4","none","48.9","11.95","52.12","40.4","41","90.2","44.34","True","12.999","11.0225","11.2187","0.1962","289589604807.3062","byte/s","True","21","24","0x0000000000000000"
"1342","1340.2","1335","1342","13801","13801","13801","True","-1.8","none","49.59","16.81","52.79","39.9","40","96.4","45.12","True","12.966","10.7137","10.896","0.1823","297936278840.95715","byte/s","True","20","24","0x0000000000000000"
"1387","1386","1380","1387","13801","13801","13801","True","-1","none","49.95","15.93","53.35","39","40","95.8","45.34","True","12.988","10.5321","10.7151","0.183","303073697097.75696","byte/s","True","20","24","0x0000000000000000"
"1440","1437.9","1425","1440","13801","13801","13801","True","-2.1","none","50.44","15.48","54.17","38.9","39","96.7","45.67","True","12.429","10.2492","10.4283","0.1791","311439218094.7107","byte/s","True","19","23","0x0000000000000000"
"1492","1485","1485","1485","13801","13801","13801","True","-7","none","51.18","16.47","54.72","38.8","39","96.1","46.36","True","12.398","10.024","10.1769","0.1529","318434188068.14355","byte/s","True","19","23","0x0000000000000000"
"1545","1537","1537","1537","13117.3","810","13801","True","-8","none","51.46","12.92","55.31","38.6","39","89.4","46.24","True","11.855","9.8705","10.0296","0.1591","323388636336.01764","byte/s","True","19","22","0x0000000000000000"
"1597","1590","1590","1590","13079.3","810","13801","True","-7","none","51.18","12.8","56.3","39","40","91.2","46.23","True","11.877","9.6917","9.8416","0.1499","329352946824.0159","byte/s","True","18","22","0x0000000000000000"
"1650","1642","1642","1642","13079.3","810","13801","True","-8","none","52.58","13.28","57.74","40.6","41","93.8","47.25","True","11.884","9.5375","9.687","0.1495","334678878027.8284","byte/s","True","18","22","0x0000000000000000"
"1702","1695","1695","1695","13812.1","13801","14001","True","-7","none","54.09","13.86","59.65","42.1","43","93.7","48.37","True","11.335","9.4239","9.5797","0.1557","338711797962.33014","byte/s","True","18","21","0x0000000000000000"
"1747","1740","1740","1740","13801","13801","13801","True","-7","none","56.62","22.13","60.67","43.4","44","96.4","50.63","True","11.301","9.4039","9.5529","0.149","339432920946.0873","byte/s","True","18","21","0x0000000000000000"
"1800","1792","1792","1792","13079.3","810","13801","True","-8","none","57.33","15.43","62.62","44.6","45","93.7","51.34","True","11.224","9.3346","9.46","0.1254","341954368631.882","byte/s","True","18","21","0x0000000000000000"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","58.89","17","63.85","45.6","46","96.1","52.75","True","11.186","9.2975","9.4287","0.1312","343318650150.85223","byte/s","True","18","21","0x0000000000000000"
