"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","13319.9","810","13801","True","-1","none","45.76","12.12","49.15","45.3","46","95.6","42.41","True","16.083","13.9508","14.165","0.2142","246867764880.4735","byte/s","True","27","30","0x0000000000000000"
"1290","1288.8","1282","1290","13301.3","810","13801","True","-1.2","none","46.17","12.29","49.38","45.9","46","94.5","42.91","True","16.143","13.7698","14.01","0.2403","250113164587.2876","byte/s","True","26","30","0x0000000000000000"
"1342","1340.6","1335","1342","13801","13801","13801","True","-1.4","none","47.42","15.67","50.2","46.7","47","97.4","43.91","True","15.633","13.4058","13.6344","0.2286","256903521270.0639","byte/s","True","25","29","0x0000000000000000"
"1387","1385.5","1380","1387","13259.7","810","13801","True","-1.5","none","48.07","12.67","51.46","47.2","48","95.2","44.39","True","15.156","12.8128","13.0391","0.2263","268793970623.39984","byte/s","True","24","28","0x0000000000000000"
"1440","1438.7","1432","1440","13801","13801","13801","True","-1.3","none","49.74","21.76","52.19","47.8","48","96.2","45.67","True","14.623","12.5766","12.7948","0.2182","273842423786.01657","byte/s","True","24","27","0x0000000000000000"
"1492","1485","1485","1485","13801","13801","13801","True","-7","none","50.05","16.23","53.26","48.4","49","97.4","45.86","True","14.125","12.0165","12.2039","0.1874","286604938975.3466","byte/s","True","23","26","0x0000000000000000"
"1545","1537","1537","1537","13210.5","810","13801","True","-8","none","50.42","13.85","54.13","48.8","49","94.7","46.36","True","14.077","11.7356","11.9157","0.1801","293464892178.81805","byte/s","True","22","26","0x0000000000000000"
"1597","1590","1590","1590","13182.4","810","13801","True","-7","none","52.82","14.52","56.09","49.4","50","91.2","48.36","True","13.516","11.225","11.4029","0.178","306816268164.6307","byte/s","True","21","25","0x0000000000000000"
"1650","1642","1642","1642","13151.4","810","13801","True","-8","none","54.25","15.09","57.83","49.9","50","89.7","49.49","True","12.964","10.8415","11.021","0.1795","317667020930.5519","byte/s","True","20","24","0x0000000000000000"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","56.99","24.04","60.32","50.7","51","97","51.61","True","12.444","10.3307","10.5075","0.1768","333375427950.3789","byte/s","True","20","23","0x0000000000000000"
"1747","1740","1740","1740","13801","13801","13801","True","-7","none","58.76","24.24","62.39","51.2","52","94.8","52.93","True","11.946","9.9284","10.0667","0.1383","346882174368.68756","byte/s","True","19","22","0x0000000000000000"
"1800","1792","1792","1792","13079.3","810","13801","True","-8","none","60.65","17.03","65.01","51.8","52","91.8","54.97","True","11.902","9.5931","9.7258","0.1327","359008392550.91815","byte/s","True","18","22","0x0000000000000000"
"1852","1845","1845","1845","13079.3","810","13801","True","-7","none","61.49","17.61","67.89","52.2","53","91.2","55.2","True","11.376","9.3245","9.4785","0.154","369350200711.9166","byte/s","True","18","21","0x0000000000000000"
