"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.1","1230","1237","13801","13801","13801","True","-0.9","none","48.96","23.1","50.58","44.1","45","98.3","45.55","True","23.297","20.6036","20.9143","0.3108","4099315801800.7095","FLOP/s","True","38","43","0x0000000000000000"
"1290","1288.7","1282","1290","13801","13801","13801","True","-1.3","none","50.45","30.9","52.09","43.9","44","97.1","46.72","True","22.135","19.7347","20.0677","0.333","4279803298916.9043","FLOP/s","True","37","41","0x0000000000000000"
"1342","1340.4","1335","1342","13801","13801","13801","True","-1.6","none","51.6","23.61","53.72","43.9","44","98.2","47.69","True","21.667","18.8973","19.2239","0.3266","4469444972929.486","FLOP/s","True","35","40","0x0000000000000000"
"1387","1384.8","1380","1387","13801","13801","13801","True","-2.2","none","52.72","17.38","54.98","43.8","44","99","49.54","True","20.589","18.2291","18.5371","0.308","4633287930901.334","FLOP/s","True","35","38","0x0000000000000000"
"1440","1432.2","1432","1440","13801","13801","13801","True","-7.8","none","55.04","30.97","56.64","43.8","44","98.2","50.58","True","20.348","17.631","17.909","0.278","4790455686638.103","FLOP/s","True","33","38","0x0000000000000000"
"1492","1485","1485","1485","13801","13801","13801","True","-7","none","55.78","16.68","58.42","43.8","44","97.3","52.22","True","19.224","17.0066","17.2563","0.2497","4966336107661.228","FLOP/s","True","33","36","0x0000000000000000"
"1545","1537","1537","1537","13395","810","13801","True","-8","none","56.37","13.03","60.13","44","45","95","52.68","True","18.74","16.4295","16.6584","0.2289","5140773678634.9375","FLOP/s","True","32","35","0x0000000000000000"
"1597","1590","1590","1590","13801","13801","13801","True","-7","none","60.99","14.42","64.89","44.5","45","95.1","56.82","True","18.156","15.7769","16.0101","0.2332","5353428946044.395","FLOP/s","True","31","34","0x0000000000000000"
"1650","1642","1642","1642","13368","810","13801","True","-8","none","62.79","14.03","67.09","45.1","46","94.6","58.36","True","17.577","15.2673","15.4875","0.2202","5532115076769.183","FLOP/s","True","30","33","0x0000000000000000"
"1702","1695","1695","1695","13337","810","13801","True","-7","none","66.03","14.51","71.87","45.5","47","94.2","61.05","True","16.792","14.5825","14.8003","0.2179","5791928525654.606","FLOP/s","True","28","31","0x0000000000000000"
"1747","1740","1740","1740","13801","13801","13801","True","-7","none","68.92","14.99","74.17","46.4","47","95.6","63.7","True","16.588","14.3013","14.4883","0.1869","5905775427125.2705","FLOP/s","True","28","31","0x0000000000000000"
"1800","1792","1792","1792","13319.9","810","13801","True","-8","none","73.91","15.6","80.01","47.1","48","94","68.08","True","16.012","13.8098","13.9976","0.1878","6115980865097.573","FLOP/s","True","27","30","0x0000000000000000"
"1852","1845","1845","1845","13281.4","810","13801","True","-7","none","77.14","16.09","84.16","48","49","93.6","70.98","True","15.613","13.3033","13.5115","0.2082","6348854685088.405","FLOP/s","True","25","29","0x0000000000000000"
