"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.1","1230","1237","16301","16301","16301","True","-0.9","none","55.94","30.22","57.65","41.8","43","98.2","50.32","True","18.82","15.8459","16.0701","0.2242","8326524659153.229","FLOP/s","True","30","35","0x0000000000000001;0x0000000000000000"
"1395","1388.2","1387","1395","16301","16301","16301","True","-6.8","none","60.53","19.98","63.23","44.9","46","99","53.48","True","16.641","14.0473","14.2489","0.2015","9392621012657.076","FLOP/s","True","27","31","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","64.89","34.88","67.21","47.2","48","98.7","56.68","True","15.049","12.6733","12.8698","0.1964","10410945132684.115","FLOP/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1702","1696","1695","1702","16301","16301","16301","True","-6","none","69.56","35.86","72.36","49.5","50","98.1","59.85","True","13.977","11.4887","11.6344","0.1457","11484410945961.47","FLOP/s","True","22","26","0x0000000000000001;0x0000000000000000"
"1852","1847.8","1845","1852","16301","16301","16301","True","-4.2","none","74.56","37.02","77.82","51","52","99.2","63.32","True","12.899","10.5701","10.726","0.1558","12482471634667.863","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","79.54","42.55","84.18","52.8","54","97.7","67.24","True","12.379","9.7573","9.8901","0.1328","13522346212851.121","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","94.07","49.49","98.45","53.8","55","97.7","78.59","True","11.294","9.0487","9.2107","0.162","14581191405025.861","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","103.17","26.15","113.22","54.4","56","98.2","84.41","True","10.772","8.4912","8.6145","0.1233","15538658107634.018","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","128.01","59.94","135.86","57.6","59","100","103.06","True","10.243","7.9447","8.0368","0.0921","16607422781568.139","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2625","2617","2617","2617","16301","16301","16301","True","-8","none","135.66","24.67","146.86","58.4","60","100","108.7","True","10.234","7.6205","7.7321","0.1116","17314008109170.312","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","152.67","54.57","165.43","61.7","63","97.5","119.39","True","9.151","7.0676","7.1589","0.0913","18668449012553.508","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","15109.4","810","16301","True","-7","none","161.36","10.64","189.3","63.7","67","91.5","136.8","True","9.162","6.7493","6.8444","0.0951","19548781633384.65","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","2962","2962","2962","16301","16301","16301","False","-128","below","180.58","74.08","194.32","65.9","68","99","141.68","True","9.161","6.73","6.8308","0.1008","19605101696516.17","FLOP/s","True","12","17","0x0000000000000001;0x0000000000000000"
