"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","16301","16301","16301","True","-1.2","none","53.24","51.42","54.41","44","45","97.3","46.95","True","23.17","18.6548","18.9205","0.2657","7072793723285.743","FLOP/s","True","35","43","0x0000000000000001;0x0000000000000000"
"1395","1388.8","1387","1395","16301","16301","16301","True","-6.2","none","57.92","50.23","59.38","46.5","48","96.4","50.18","True","20.429","16.4747","16.7596","0.2849","8008724946360.624","FLOP/s","True","31","38","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","61.66","32.09","64.24","49","50","99","53.59","True","18.864","14.6323","14.836","0.2036","9017127155018.207","FLOP/s","True","28","35","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","66.73","37.11","70.32","51","52","97.9","56.29","True","17.188","13.0253","13.2392","0.2139","10129642415439.44","FLOP/s","True","25","32","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","70.21","26.93","74.67","52.6","53","99","58.31","True","15.599","11.9528","12.1239","0.1711","11038530542419.21","FLOP/s","True","23","29","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","75.95","51.41","78.25","50.8","51","97.6","63.29","True","15.104","11.0443","11.1958","0.1515","11946605678096.678","FLOP/s","True","21","28","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","88.64","45.64","94.17","51.6","53","97.4","72.08","True","14.043","10.064","10.2001","0.1361","13110195476083.887","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","100.47","42.24","106.73","52.7","54","99","80.96","True","13.475","9.4212","9.56","0.1388","14004670332298.34","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","118.08","54.33","128.01","54.8","56","97.2","92.29","True","12.395","8.9358","9.0741","0.1383","14765411420747.693","FLOP/s","True","17","23","0x0000000000000001;0x0000000000000000"
"2625","2608","2602","2610","16301","16301","16301","True","-17","none","127.58","54.36","135.67","55.8","57","97.1","99.77","True","12.402","8.4943","8.6294","0.1352","15532999679906.623","FLOP/s","True","16","23","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","138.31","44.64","153.82","58.1","61","95.6","107.38","True","11.877","7.9946","8.0978","0.1032","16503863004266.875","FLOP/s","True","15","22","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2914","2910","2917","16301","16301","16301","True","-18","none","158.45","91.13","168","60.9","64","96.6","120.45","True","11.408","7.8145","7.9258","0.1114","16884217953617.5","FLOP/s","True","14","21","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2947.6","2947","2955","16301","16301","16301","False","-142.4","below","161.69","87.37","177.28","62.1","65","99","123.13","True","11.399","7.6297","7.7387","0.109","17293201803253.467","FLOP/s","True","14","21","0x0000000000000001;0x0000000000000000"
