"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","52.56","20.91","54.77","43.7","45","98.3","48.5","True","21.442","18.4622","18.7385","0.2763","7146580643401.721","FLOP/s","True","35","40","0x0000000000000001;0x0000000000000000"
"1395","1389.1","1387","1395","16301","16301","16301","True","-5.9","none","57.89","42.72","59.46","46.1","47","97.2","52.84","True","19.345","16.3215","16.605","0.2835","8083898493084.9375","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","61.56","27.2","63.93","48.5","49","99","55.47","True","17.204","14.496","14.6989","0.2029","9101906272021.275","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","66.24","39.78","68.53","50.4","51","97.6","58.88","True","16.112","13.1102","13.3294","0.2191","10064005323988.777","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","69.92","35.19","73.15","52.4","53","99","61.41","True","14.492","12.0396","12.2499","0.2103","10958947367870.19","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","74.95","37.85","78.28","51.2","52","99","65.16","True","13.435","11.0371","11.1801","0.143","11954342697785.025","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","87.57","43.02","92.2","51.4","52","97.5","75.37","True","12.911","10.1257","10.2625","0.1368","13030343296844.201","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","101.91","52.63","106.48","52.9","54","99","86.57","True","11.845","9.4175","9.5623","0.1448","14010307027007.787","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","121.91","74.68","127.01","55.1","57","96.6","102.65","True","11.257","8.7345","8.8787","0.1442","15105781637629.355","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2625","2606","2602","2610","16301","16301","16301","True","-19","none","127.2","27.69","136.57","56.2","58","96.5","106","True","11.277","8.4098","8.5632","0.1534","15689063894338.61","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","142.84","50.35","154.94","59.5","61","96.7","117.22","True","10.194","7.7386","7.846","0.1074","17049684189169.271","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2916.5","2910","2917","16301","16301","16301","True","-15.5","none","168.4","117.99","175.35","62.6","64","99","136.19","True","9.71","7.3747","7.4878","0.1131","17890998883771.36","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"3090","2947","2947","2947","16301","16301","16301","False","-143","below","166.34","86.05","177.75","62.4","65","96.8","135.05","True","9.689","7.3001","7.3968","0.0967","18073920612898.54","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000000"
