"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.4","1230","1237","15705.2","810","16301","True","-1.6","none","50.53","12.19","54.09","42.1","43","93.7","46.83","True","16.091","13.8066","14.0079","0.2013","279972940624.62646","byte/s","True","26","30","0x0000000000000001;0x0000000000000000"
"1395","1393.3","1387","1395","16301","16301","16301","True","-1.7","none","52.92","18.6","55.79","41","41","97.7","48.66","True","15.015","12.7775","12.9771","0.1996","302521491527.51013","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1545","1539.7","1537","1545","16301","16301","16301","True","-5.3","none","52.83","13.9","56.37","40.8","41","97.2","48.64","True","15.002","12.5915","12.7968","0.2053","306989463236.0508","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1702","1694.7","1687","1695","16301","16301","16301","True","-7.3","none","53.33","15.84","56.53","40","40","98.6","48.8","True","14.986","12.5897","12.8056","0.2159","307033596045.90955","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1852","1845.2","1822","1852","16301","16301","16301","True","-6.8","none","53.33","13.92","56.91","39.8","40","97.2","48.74","True","15.027","12.5536","12.7473","0.1937","307918492928.2401","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","55.57","13.31","59.97","39.8","40","95.5","50.49","True","13.426","11.4366","11.6042","0.1676","337991800189.1339","byte/s","True","22","25","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","60.3","14.83","65.31","39.9","40","96","54.71","True","12.855","10.5067","10.6731","0.1664","367906513895.753","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","65.59","20.77","70.29","40.7","41","98.9","58.76","True","11.791","9.782","9.9183","0.1363","395160706494.59973","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","15440.4","810","16301","True","-8","none","69.35","17.44","75.97","41.2","42","91.9","61.93","True","11.278","9.4182","9.5612","0.143","410425305402.05853","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2625","2593.2","2587","2602","16301","16301","16301","False","-31.8","below","69.99","17.88","76.17","41.6","42","94.6","63.11","True","11.808","9.4361","9.569","0.1329","409647271079.7865","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","77.37","26.34","82.96","42.6","43","98.7","69.2","True","11.253","9.1816","9.315","0.1334","421002586100.5947","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","15753.9","7001","16301","True","-7","none","80.11","22.18","88.75","43.1","44","93.2","72.17","True","11.274","9.1464","9.2815","0.1351","422622922723.4542","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"3090","2985.4","2985","2992","16301","16301","16301","False","-104.6","below","82.08","24.1","89.01","43.6","44","97.1","73.8","True","11.278","9.1262","9.2606","0.1343","423556736977.39215","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
