"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","53.09","31.04","54.91","46.2","47","99","48.49","True","23.042","19.34","19.6655","0.3255","6822211724782.241","FLOP/s","True","36","42","0x0000000000000000"
"1395","1388.5","1387","1395","16301","16301","16301","True","-6.5","none","58.07","44.58","59.82","48.5","49","98.2","52.41","True","20.281","16.8902","17.1974","0.3072","7811697114937.193","FLOP/s","True","31","37","0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","63.97","27.48","67.08","50.1","51","95.3","58.12","True","18.13","14.9654","15.2162","0.2507","8816406905358.969","FLOP/s","True","28","33","0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","73.31","26.49","76.81","52.6","54","99","65.45","True","15.924","13.2136","13.4467","0.2331","9985305117213.22","FLOP/s","True","25","29","0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","85.81","24.34","90.28","52.8","53","95.6","75.82","True","14.831","12.0564","12.3093","0.2529","10943674441681.33","FLOP/s","True","23","27","0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","100.34","43.88","105.94","53.5","55","98.1","87.95","True","14.285","11.1365","11.2937","0.1572","11847704331149.422","FLOP/s","True","21","26","0x0000000000000000"
"2167","2151.3","2145","2152","16301","16301","16301","True","-15.7","none","111.52","54.92","118.68","54.2","56","99.4","96.37","True","13.199","10.4819","10.6309","0.149","12587541742833.367","FLOP/s","True","20","24","0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","120.37","46.25","128.59","56.1","58","99","102.56","True","12.089","9.4725","9.6258","0.1533","13928953831784.078","FLOP/s","True","18","22","0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","149.85","94.93","156.54","60.5","62","96.1","126.89","True","11.537","8.8432","9.0057","0.1625","14920075180048.89","FLOP/s","True","16","21","0x0000000000000000"
"2625","2583.7","2572","2610","16301","16301","16301","False","-41.3","below","175.04","121.35","182.52","64.7","66","99","146.47","True","10.981","8.4192","8.5746","0.1554","15671552083357.287","FLOP/s","True","15","20","0x0000000000000000"
"2782","2591.3","2580","2655","16301","16301","16301","False","-190.7","below","174.62","117.92","182.37","65.1","67","98","146.41","True","10.984","8.4339","8.5977","0.1638","15644260178575.086","FLOP/s","True","15","20","0x0000000000000000"
"2932","2587.2","2572","2632","16301","16301","16301","False","-344.8","below","174.44","114.55","183.41","65.1","67","96.6","146.07","True","10.994","8.4289","8.5861","0.1572","15653404234547.025","FLOP/s","True","15","20","0x0000000000000000"
"3090","2589.8","2572","2632","16301","16301","16301","False","-500.2","below","172.7","104.67","181.67","64.8","67","97","143.97","True","11.035","8.4257","8.6005","0.1747","15659311686547.004","FLOP/s","True","15","20","0x0000000000000000"
