"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1402","1400.6","1395","1402","16301","16301","16301","True","-1.4","none","51.32","16.99","54.14","41.4","42","94.6","46.71","True","16.505","13.7738","14.009","0.2352","280639896536.1487","byte/s","True","25","30","0x0000000000000001;0x0000000000000000"
"1477","1474.8","1470","1477","16301","16301","16301","True","-2.2","none","51.59","16.85","54.73","42.6","43","97.7","47.71","True","15.946","13.6032","13.85","0.2468","284159774565.2764","byte/s","True","26","29","0x0000000000000001;0x0000000000000000"
"1560","1554.6","1552","1560","16301","16301","16301","True","-5.4","none","52.58","17.33","55.6","43.5","44","97.4","48.48","True","15.382","13.2037","13.4527","0.249","292756997852.4933","byte/s","True","25","28","0x0000000000000001;0x0000000000000000"
"1635","1628.7","1627","1635","15913.5","7001","16301","True","-6.3","none","53.02","14.7","56.43","44.4","45","92.9","48.96","True","15.363","12.9294","13.1818","0.2524","298967152575.8895","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1710","1702.7","1702","1710","15913.5","7001","16301","True","-7.3","none","52.41","14.64","57.29","45.3","46","93.5","48.44","True","15.362","12.8697","13.098","0.2283","300354112572.6498","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1792","1785.3","1785","1792","15913.5","7001","16301","True","-6.7","none","53.21","14.81","57.49","46.1","47","93.4","49.18","True","15.375","12.8124","13.0407","0.2284","301697893935.9631","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1867","1859.7","1852","1860","16301","16301","16301","True","-7.3","none","53.97","15.02","57.77","46.8","47","93.9","49.85","True","15.409","12.7885","13.0262","0.2377","302261680285.94525","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1942","1935","1935","1935","16301","16301","16301","True","-7","none","55.18","15.51","59.12","47.6","48","94.7","50.91","True","14.894","12.2734","12.5211","0.2477","314948113167.99695","byte/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2025","2017","2017","2017","16301","16301","16301","True","-8","none","57.02","16.81","61.1","48.4","49","96.9","52.45","True","14.298","11.7404","11.9327","0.1923","329244484020.5715","byte/s","True","22","26","0x0000000000000001;0x0000000000000000"
"2100","2092","2092","2092","15858.1","7001","16301","True","-8","none","60.39","17.01","64.57","49.1","50","92.4","55.02","True","13.75","11.2038","11.3928","0.1891","345015550934.48987","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
