target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1402,1400.6,280.6398965361487,51.32,16301.0,0.72,1320.0,7
1477,1474.8,284.15977456527645,51.59,16301.0,0.72,1320.0,7
1560,1554.6,292.75699785249327,52.58,16301.0,0.72,1342.0,7
1635,1628.7,298.96715257588954,53.02,15913.5,0.72,1342.0,7
1710,1702.7,300.3541125726498,52.41,15913.5,0.72,1342.0,7
1792,1785.3,301.69789393596307,53.21,15913.5,0.72,1350.0,7
1867,1859.7,302.26168028594526,53.97,16301.0,0.72,1350.0,6
1942,1935.0,314.94811316799695,55.18,16301.0,0.72,1402.0,7
2025,2017.0,329.24448402057146,57.02,16301.0,0.72,1470.0,7
2100,2092.0,345.01555093448985,60.39,15858.1,0.74,1545.0,6
