"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1402","1400.4","1395","1402","13539.5","7001","13801","True","-1.6","none","50.45","14.8","53.67","46","47","93.5","46.74","True","15.914","13.619","13.8684","0.2494","283829159083.0333","byte/s","True","26","29","0x0000000000000000"
"1477","1470","1470","1470","13517.7","7001","13801","True","-7","none","51.85","15.34","54.89","46.8","47","93.2","47.97","True","15.383","12.9517","13.1748","0.2231","298453046851.7223","byte/s","True","24","28","0x0000000000000000"
"1560","1552","1552","1552","13505.3","7001","13801","True","-8","none","52.49","15.82","56.31","47.4","48","93.7","48.48","True","14.813","12.4802","12.7","0.2198","309728180414.85425","byte/s","True","23","27","0x0000000000000000"
"1635","1627","1627","1627","13505.3","7001","13801","True","-8","none","54.75","16.52","58.93","48.1","49","91.6","50.33","True","14.272","12.0433","12.271","0.2277","320964395324.0601","byte/s","True","23","26","0x0000000000000000"
"1710","1702","1702","1702","13801","13801","13801","True","-8","none","58.26","21.57","61.85","49","50","96","53.51","True","14.312","11.7365","11.9275","0.191","329354886840.31116","byte/s","True","22","26","0x0000000000000000"
"1792","1785","1785","1785","13491.9","7001","13801","True","-7","none","60.6","18.23","64.13","49.8","50","92.6","55.52","True","13.75","11.5541","11.7291","0.175","334554329596.1689","byte/s","True","22","25","0x0000000000000000"
"1867","1860","1860","1860","13477.2","7001","13801","True","-7","none","62.16","19.24","66.82","50.7","51","94.4","57.13","True","13.727","11.4096","11.6173","0.2076","338789609787.43933","byte/s","True","21","25","0x0000000000000000"
"1942","1935","1935","1935","13801","13801","13801","True","-7","none","65.29","27.92","68.87","51.7","52","97","59.93","True","13.748","11.3547","11.5495","0.1948","340430112692.98975","byte/s","True","21","25","0x0000000000000000"
"2025","2017","2017","2017","13477.2","7001","13801","True","-8","none","65.79","21.02","71.71","52.4","53","92.3","60.57","True","13.732","11.2988","11.4901","0.1913","342112838992.8865","byte/s","True","21","25","0x0000000000000000"
"2100","2085.3","2085","2092","13801","13801","13801","True","-14.7","none","66.94","25.3","71","50","50","98.9","61.56","True","13.725","11.3027","11.4881","0.1854","341995852064.50916","byte/s","True","21","25","0x0000000000000000"
