"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.4","1230","1237","15956.6","7001","16301","True","-1.6","none","48.91","13.96","52.91","42.9","44","94.4","45.59","True","17.074","14.4609","14.7304","0.2695","267305614568.4998","byte/s","True","27","31","0x0000000000000001;0x0000000000000000"
"1395","1393.1","1387","1395","16301","16301","16301","True","-1.9","none","52.11","20.1","55.04","44","45","97","48.3","True","15.933","13.388","13.6481","0.2601","288725482919.2711","byte/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","54.89","20.36","58.18","45.1","46","97.9","50.28","True","14.278","12.069","12.321","0.2521","320281754506.12427","byte/s","True","23","26","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","15836","7001","16301","True","-7","none","58.93","16.24","64.48","46.4","47","92.2","53.73","True","13.175","10.8669","11.0716","0.2047","355711376489.9887","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","65.36","23.37","70.15","47.7","48","97.7","58.84","True","12.65","10.0885","10.3072","0.2187","383154396875.33014","byte/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15784.3","7001","16301","True","-8","none","69.44","19.7","75.76","49.3","50","93.8","62.84","True","12.091","9.6577","9.7937","0.136","400246895494.75055","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","15784.3","7001","16301","True","-7","none","71.89","20.44","77.42","50.3","51","91.2","65.12","True","12.069","9.6144","9.7809","0.1665","402049703207.6338","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","78.29","30.36","83.81","51.9","53","96.2","70.29","True","11.543","9.4525","9.6037","0.1512","408937423359.2807","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2475","2459.1","2452","2467","16301","16301","16301","True","-15.9","none","78.83","24.73","85.01","50.8","51","97.1","70.92","True","11.561","9.4261","9.5843","0.1583","410082938529.54834","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2625","2610.4","2610","2617","15784.3","7001","16301","True","-14.6","none","79.32","23.55","86.23","48.8","49","93.8","71.36","True","11.516","9.4037","9.5621","0.1584","411057026533.4327","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2782","2736.2","2730","2737","15784.3","7001","16301","False","-45.8","below","78.7","23.49","86.13","47.7","48","90.7","70.82","True","11.511","9.3929","9.5435","0.1507","411532849733.066","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2932","2849.8","2842","2857","15784.3","7001","16301","False","-82.2","below","79.38","23.48","86.49","47.3","48","93.6","71.4","True","11.564","9.3864","9.552","0.1655","411814516988.2885","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"3090","2909.9","2902","2917","16301","16301","16301","False","-180.1","below","81.04","34.28","86.41","46.8","47","96.7","72.84","True","11.518","9.3923","9.5562","0.1639","411557058042.7218","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
