"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.2","1230","1237","16301","16301","16301","True","-1.8","none","53.45","41.08","55.06","44.7","46","97.7","48.82","True","22.529","19.1745","19.4818","0.3073","6881101796851.685","FLOP/s","True","35","41","0x0000000000000001;0x0000000000000000"
"1395","1389.1","1387","1395","16301","16301","16301","True","-5.9","none","58.28","40.55","59.98","47.3","48","98.1","53.42","True","19.775","16.6497","16.9479","0.2982","7924544582585.14","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","64.44","31.43","67.33","49.5","50","99","58.25","True","17.555","14.8254","15.0587","0.2333","8899678216232.854","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","73.33","29.71","76.83","52.5","53","99","65.5","True","15.953","13.3089","13.5349","0.226","9913789514093.041","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","2854.6","2520","2887","16301","16301","16301","False","1002.6","above","151.64","55.16","166.21","61.9","64","97.4","124.47","True","10.419","7.867","7.9951","0.1281","16771527049711.445","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","101.19","41.67","107.7","54.6","55","99","88.52","True","13.718","11.0123","11.1707","0.1585","11981319558051.838","FLOP/s","True","20","25","0x0000000000000001;0x0000000000000000"
"2167","2152","2152","2152","16301","16301","16301","True","-15","none","112.61","61.09","118.63","55.1","56","97.4","97.53","True","13.182","10.4036","10.5535","0.1499","12682243964204.486","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","121.49","49.36","129.97","57.3","59","97.1","103.87","True","12.066","9.453","9.5995","0.1465","13957631613332.559","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2475","2458.1","2452","2460","16301","16301","16301","True","-16.9","none","136.18","97.67","140.75","58.5","60","98.9","115.41","True","11.528","9.0834","9.2415","0.1582","14525600845675.043","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2625","2606.5","2602","2610","16301","16301","16301","True","-18.5","none","143.44","91.44","150.26","59.4","61","96","119.74","True","10.991","8.5256","8.6887","0.1631","15475823262011.773","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2726.3","2722","2730","16301","16301","16301","False","-55.7","below","152.07","90.8","159.82","60.3","62","96.4","126.83","True","11.002","8.1698","8.3133","0.1435","16149963708017.738","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2845","2835","2850","16301","16301","16301","False","-87","below","155.74","89.32","164.5","61.3","63","95.9","128.11","True","10.413","7.9511","8.089","0.1379","16594138237760.246","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
"3090","2887.1","2880","2902","16301","16301","16301","False","-202.9","below","158.11","94.52","166.88","61.1","63","95.6","130.05","True","10.426","7.848","7.9847","0.1367","16812117467777.117","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
