"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","16301","16301","16301","True","-0.8","none","53.78","52.25","54.77","44.7","46","98.2","49.52","True","22.509","19.1082","19.4081","0.2999","6904963035081.599","FLOP/s","True","35","41","0x0000000000000001;0x0000000000000000"
"1395","1388.5","1387","1395","16301","16301","16301","True","-6.5","none","58.07","37.64","59.9","47.3","48","97.8","53.27","True","19.75","16.6441","16.9649","0.3208","7927232508211.38","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","64.48","24.49","67.24","49.2","50","93.3","58.29","True","17.578","14.8855","15.1048","0.2193","8863756457148.021","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","73.84","47.22","76.49","52.2","53","96.4","66.08","True","15.947","13.2931","13.5065","0.2134","9925527012200.752","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","87.83","57.85","90.91","52.9","54","97.5","77.96","True","14.848","12.0959","12.3333","0.2374","10907984028537.977","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","103.46","74.2","106.87","54.2","55","96.6","90.26","True","13.761","11.0697","11.2261","0.1564","11919162350756.102","FLOP/s","True","20","25","0x0000000000000001;0x0000000000000000"
"2167","2152","2152","2152","16301","16301","16301","True","-15","none","112.53","55.3","118.36","54.8","56","97.3","97.47","True","13.183","10.4404","10.5989","0.1585","12637593198335.297","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","124.92","90.79","129.28","56.6","58","96.5","106.5","True","12.102","9.4811","9.6471","0.166","13916305323623.535","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2475","2458.6","2452","2460","16301","16301","16301","True","-16.4","none","134.48","85.43","140.68","58.2","60","96.5","113.46","True","11.559","9.0892","9.244","0.1547","14516218504685.006","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2625","2605.8","2580","2610","16301","16301","16301","True","-19.2","none","141.89","74.51","149.97","59.2","61","96.8","118.17","True","10.986","8.5687","8.7386","0.1698","15398033058406.205","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2729.9","2722","2737","16301","16301","16301","False","-52.1","below","148.46","66.89","160.05","60.8","62","99","122.69","True","10.983","8.1639","8.3358","0.1719","16161553676639.781","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"2932","2848.6","2842","2857","16301","16301","16301","False","-83.4","below","154.24","73.6","164.95","61.4","63","98.9","127.18","True","10.45","7.9326","8.0546","0.122","16632804337811.975","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
"3090","2898.5","2880","2910","16301","16301","16301","False","-191.5","below","156.5","74.82","167.52","61.6","63","96.2","128.74","True","10.429","7.8457","7.9704","0.1248","16817109676086.94","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
