"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1402","1397.8","1395","1402","15929","7001","16301","True","-4.2","none","51.13","14.08","55.18","39.9","40","93.9","47.09","True","15.401","13.2236","13.4422","0.2187","292316955513.68774","byte/s","True","25","28","0x0000000000000001;0x0000000000000000"
"1477","1470","1470","1470","15896.7","7001","16301","True","-7","none","52.54","14.88","57.09","39.8","40","91.5","48.36","True","14.841","12.3535","12.59","0.2364","312903730554.81934","byte/s","True","23","27","0x0000000000000001;0x0000000000000000"
"1560","1552","1552","1552","15878.3","7001","16301","True","-8","none","54.89","15.46","59.29","39.8","40","93","50.52","True","14.281","11.7183","11.9172","0.1989","329864863128.8282","byte/s","True","22","26","0x0000000000000001;0x0000000000000000"
"1635","1627","1627","1627","16301","16301","16301","True","-8","none","56.87","16.71","60.98","39.8","40","95.6","52.03","True","13.728","11.3728","11.5627","0.1899","339886526750.7362","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1710","1702","1702","1702","15836","7001","16301","True","-8","none","58.49","16.45","64.34","39.8","40","91.6","53.42","True","13.175","10.7908","10.9935","0.2027","358218865191.693","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1792","1785","1785","1785","16301","16301","16301","True","-7","none","62.22","18.56","67.14","40.2","41","98","56.47","True","13.238","10.6393","10.8254","0.186","363318813290.2491","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1867","1860","1860","1860","15836","7001","16301","True","-7","none","61.75","18.69","69.02","40.6","41","91.5","56.74","True","13.75","11.2285","11.4646","0.2361","344255959100.12195","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1942","1935","1935","1935","16301","16301","16301","True","-7","none","66.98","26.49","72.03","40.8","41","95.6","58.81","True","12.718","9.974","10.1329","0.1588","387553980012.9923","byte/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2025","2016.2","2010","2017","16301","16301","16301","True","-8.8","none","68.38","20.44","74.24","41.3","42","96.4","61.97","True","12.142","9.7388","9.9021","0.1633","396912546875.3938","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2100","2077.4","2077","2085","15811.5","7001","16301","True","-22.6","none","67.17","19.53","74.01","41.3","42","91.8","60.96","True","12.678","9.9315","10.099","0.1675","389212559392.3555","byte/s","True","19","23","0x0000000000000001;0x0000000000000000"
