target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1402,1397.8,292.31695551368773,51.13,15929.0,0.72,1319.5,16
1477,1470.0,312.90373055481933,52.54,15896.7,0.72,1413.5,12
1560,1552.0,329.8648631288282,54.89,15878.3,0.73,1485.0,17
1635,1627.0,339.8865267507362,56.87,16301.0,0.74,1530.0,6
1710,1702.0,358.218865191693,58.49,15836.0,0.755,1612.0,13
1792,1785.0,363.31881329024907,62.22,16301.0,0.785,1725.0,5
1867,1860.0,344.25595910012197,61.75,15836.0,0.8,1785.0,14
1942,1935.0,387.5539800129923,66.98,16301.0,0.82,1867.0,5
2025,2016.2,396.9125468753938,68.38,16301.0,0.84,1935.0,12
2100,2077.4,389.2125593923555,67.17,15811.5,0.84,1935.0,6
