"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1402","1399.1","1395","1402","15655.5","810","16301","True","-2.9","none","51.26","12.21","55.94","40.8","41","92.2","47.22","True","15.057","12.6426","12.8445","0.2019","305750209502.23755","byte/s","True","24","28","0x0000000000000000"
"1477","1470","1470","1470","16301","16301","16301","True","-7","none","53.77","17.02","57.11","40","40","98.9","49.36","True","14.443","11.904","12.068","0.164","324720353322.5016","byte/s","True","23","27","0x0000000000000000"
"1560","1552","1552","1552","15596.9","810","16301","True","-8","none","55.77","12.87","59.58","39.9","40","93.4","50.65","True","13.43","11.3096","11.4797","0.1701","341785356207.0473","byte/s","True","22","25","0x0000000000000000"
"1635","1627","1627","1627","15563.3","810","16301","True","-8","none","57.61","13.11","61.44","39.8","40","91.3","52.39","True","13.46","10.9746","11.1381","0.1635","352220008124.0677","byte/s","True","21","25","0x0000000000000000"
"1710","1702","1702","1702","15526.4","810","16301","True","-8","none","60.21","13.81","64.32","39.8","40","91.6","54.57","True","12.905","10.5377","10.7065","0.1688","366822967344.8197","byte/s","True","20","24","0x0000000000000000"
"1792","1785","1785","1785","15485.7","810","16301","True","-7","none","60.67","14.63","67.44","40.3","41","90.7","55.02","True","12.325","10.0717","10.2441","0.1724","383795858247.638","byte/s","True","19","23","0x0000000000000000"
"1867","1860","1860","1860","15485.7","810","16301","True","-7","none","63.97","15.23","70.01","40.6","41","94.1","57.33","True","11.816","9.8028","9.9272","0.1244","394323651382.6104","byte/s","True","19","22","0x0000000000000000"
"1942","1935","1935","1935","16301","16301","16301","True","-7","none","66.62","17.42","72.18","40.8","41","97.1","60.06","True","11.812","9.6181","9.752","0.134","401896634517.9012","byte/s","True","18","22","0x0000000000000000"
"2025","2017","2017","2017","15440.4","810","16301","True","-8","none","67.68","17.62","74.6","41.3","42","91.1","61.15","True","11.819","9.468","9.5943","0.1263","408266607444.3497","byte/s","True","18","22","0x0000000000000000"
"2100","2077.4","2077","2085","15440.4","810","16301","True","-22.6","none","67.81","18.17","74.72","41.6","42","93.3","61.29","True","11.804","9.4639","9.5946","0.1306","408442511984.0833","byte/s","True","18","22","0x0000000000000000"
