"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1402","1400.5","1395","1402","16301","16301","16301","True","-1.5","none","52.23","15.79","55.66","37.9","38","98.9","48.05","True","15.09","12.721","12.9306","0.2096","303866032853.4536","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1477","1470","1470","1470","15627.5","810","16301","True","-7","none","53.03","12.42","57.19","37.8","38","93.7","48.36","True","13.964","11.8743","12.0371","0.1629","325533596737.6045","byte/s","True","23","26","0x0000000000000001;0x0000000000000000"
"1560","1552","1552","1552","16301","16301","16301","True","-8","none","54.65","12.61","59.16","38.3","39","94.6","49.63","True","13.405","11.3133","11.4716","0.1583","341675448651.44025","byte/s","True","22","25","0x0000000000000001;0x0000000000000000"
"1635","1627","1627","1627","16301","16301","16301","True","-8","none","57.01","13.36","61.38","40.1","41","96","51.86","True","13.45","10.9464","11.1039","0.1575","353127581430.9891","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1710","1702","1702","1702","16301","16301","16301","True","-8","none","60.32","14.83","64.86","41.7","43","97.6","54.62","True","12.859","10.3689","10.541","0.1721","372794431474.372","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1792","1785","1785","1785","16301","16301","16301","True","-7","none","63.25","19.11","68.2","43.4","44","97.9","57.11","True","12.342","10.0192","10.1526","0.1334","385805854149.21356","byte/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1867","1860","1860","1860","15485.7","810","16301","True","-7","none","64.91","15.75","71.04","44.8","46","91.3","58.2","True","11.824","9.7052","9.833","0.1278","398288838627.4983","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1942","1935","1935","1935","15440.4","810","16301","True","-7","none","66.76","16.81","73.61","46.2","47","92.2","60.26","True","11.791","9.5226","9.6559","0.1332","405924163190.85236","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2025","2017","2017","2017","16301","16301","16301","True","-8","none","70.04","18.93","76.12","47.6","48","96.7","63.16","True","11.791","9.3818","9.5168","0.135","412019643728.0554","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2100","2085.4","2085","2092","15440.4","810","16301","True","-14.6","none","71","17.99","76.57","48.6","50","91.2","63.71","True","11.833","9.384","9.5208","0.1368","411921020791.965","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
