"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","16301","16301","16301","True","-0.8","none","75.03","10.97","83.39","45.5","46","96.3","66.06","True","11.36","9.0347","9.1856","0.1508","1893487764931.2798","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1395","1393.5","1387","1395","16301","16301","16301","True","-1.5","none","79.7","14.54","87.92","45.6","46","96.8","68.78","True","10.196","8.3905","8.5391","0.1486","2038869166216.7722","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000004"
"1545","1537","1537","1537","15268.3","810","16301","True","-8","none","82.18","10.93","92.82","45.9","47","93.3","70.33","True","9.691","7.8054","7.9195","0.1141","2191713827382.044","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","92.26","19.97","102.35","47.4","49","96","78.17","True","9.185","7.3175","7.4146","0.0971","2337825666455.6885","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15109.4","810","16301","True","-7","none","97.43","12.84","113.68","48.5","50","92.3","83.24","True","9.222","7.091","7.2047","0.1137","2412516604225.348","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","110","22.25","123.8","50.1","52","94.7","93.74","True","9.2","7.0117","7.1312","0.1195","2439789916933.7217","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2167","2145.8","2137","2160","15109.4","810","16301","True","-21.2","none","107.51","13.1","124.71","50.4","52","92.3","91.8","True","9.114","7.0161","7.1189","0.1028","2438257914986.1074","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","121.64","38.43","134.33","51.9","53","98.1","101.49","True","8.709","6.9985","7.1012","0.1026","2444392989985.643","FLOP/s","True","13","16","0x0000000000000001;0x0000000000000000"
"2475","2460.5","2460","2467","16301","16301","16301","True","-14.5","none","123.98","15.7","142.85","52.9","55","92.6","106.22","True","9.185","6.9993","7.1138","0.1145","2444136546187.492","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2625","2610","2610","2610","16301","16301","16301","True","-15","none","131.25","42.34","144.77","54.2","55","100","111.32","True","9.193","6.9989","7.1166","0.1177","2444262264327.0605","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2782","2742.5","2737","2752","16301","16301","16301","False","-39.5","below","127.23","16.16","145.29","54","56","94.1","108.32","True","9.186","7.0021","7.1052","0.1031","2443133639041.912","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2867.7","2857","2887","15109.4","810","16301","False","-64.3","below","126.34","15.36","145.85","54","56","92.3","107.75","True","9.12","7.0011","7.1037","0.1026","2443490873075.4546","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","2927.2","2925","2940","16301","16301","16301","False","-162.8","below","130.92","29.04","146.18","54.5","56","94.1","111.74","True","9.151","7.0024","7.1007","0.0983","2443042471587.435","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
