"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.4","1230","1237","16301","16301","16301","True","-0.6","none","44.68","29.39","45.69","43.9","44","98.2","41.19","True","21.162","18.1069","18.3559","0.249","2860911182825.9126","FLOP/s","True","34","39","0x0000000000000001;0x0000000000000000"
"1395","1392.3","1387","1395","16301","16301","16301","True","-2.7","none","47.39","26.45","49.05","43.9","44","97.4","43.2","True","19.011","16.0566","16.301","0.2444","3226227865546.9277","FLOP/s","True","30","35","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","50.55","24.4","52.39","44.1","45","99.6","45.48","True","17.297","14.5265","14.7102","0.1837","3566052958531.607","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","61.76","36.43","63.72","45.6","46","99.2","54.93","True","15.631","13.1738","13.4128","0.2389","3932200802587.9663","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","70.37","31.92","73.67","47.2","48","100","61.91","True","14.641","12.1153","12.3327","0.2174","4275756687983.7437","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","85.22","57.01","87.93","48.9","50","96.7","74.12","True","13.546","11.1681","11.3397","0.1715","4638393033612.539","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","90.17","52.68","93.95","50.6","52","97.9","77.25","True","13.036","10.4029","10.5797","0.1769","4979607228054.44","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","101.6","59.1","106.16","52.4","53","98.2","85.88","True","11.876","9.675","9.8112","0.1362","5354229632562.224","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","115.51","74.14","120.22","54.9","56","100","96.72","True","11.402","9.084","9.2266","0.1426","5702548918554.599","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2625","2617","2617","2617","16301","16301","16301","True","-8","none","117.67","28.52","128.72","56.1","58","97.5","102.3","True","10.786","8.5621","8.6767","0.1146","6050175212847.666","FLOP/s","True","17","20","0x0000000000000001;0x0000000000000000"
"2782","2773.1","2752","2775","15332.8","810","16301","True","-8.9","none","119.85","15.04","135.71","56.7","59","93.8","103.48","True","10.263","8.1456","8.2475","0.1019","6359552497486.973","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2932","2915","2887","2917","16301","16301","16301","True","-17","none","128.15","24.9","141.62","58.3","60","95.9","111.04","True","10.295","7.7834","7.8793","0.0959","6655447872534.842","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2973.1","2962","2992","16301","16301","16301","False","-116.9","below","133.75","48.2","144.72","59.3","61","100","114.02","True","9.693","7.6554","7.7538","0.0984","6766749479899.814","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
