"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.3","1230","1237","15563.3","810","16301","True","-1.7","none","48.55","11.56","52.84","37.8","39","94.6","43.92","True","12.954","10.8893","11.0713","0.182","293132896307.6032","byte/s","True","21","24","0x0000000000000001;0x0000000000000000"
"1395","1393.3","1387","1395","15485.7","810","16301","True","-1.7","none","50.6","12.03","55.6","39.4","40","94.2","45.33","True","11.839","9.9577","10.0938","0.1361","320555433389.0545","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","53.4","12.71","58.21","40.7","41","94.6","47.85","True","11.284","9.1417","9.2768","0.1351","349167778508.8253","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","59.51","22.76","64.1","42.3","43","94.1","52.79","True","10.657","8.5062","8.6319","0.1257","375256101708.77625","byte/s","True","16","20","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","61.3","14.99","68.28","43.7","44","92.9","54.46","True","10.155","8.1254","8.2518","0.1265","392843296027.67053","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15681","7001","16301","True","-8","none","68.4","18.08","73.85","45.3","46","92.7","59.97","True","9.707","7.8645","7.9724","0.1078","405874230968.6342","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2167","2153.1","2152","2160","16301","16301","16301","True","-13.9","none","68.6","19.11","75.01","46.5","47","94.1","60.24","True","9.713","7.8314","7.9385","0.107","407587715219.629","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","74.64","35.32","79.64","48.1","49","99","65.56","True","9.631","7.7453","7.8518","0.1065","412121963311.8927","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2475","2462.5","2460","2467","16301","16301","16301","True","-12.5","none","78.14","27.58","85.21","49.4","50","95","69.13","True","9.659","7.7058","7.8091","0.1034","414234713953.90826","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2625","2612.5","2610","2617","15636.7","7001","16301","True","-12.5","none","78.12","22.59","87.14","50.5","51","92.1","69.38","True","9.645","7.6887","7.7808","0.0922","415156996976.9649","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2782","2750.2","2745","2760","16301","16301","16301","False","-31.8","below","81.77","35.7","87.87","51.9","53","95.4","71.99","True","9.618","7.6841","7.7963","0.1122","415404392141.66626","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2932","2881","2872","2910","16301","16301","16301","False","-51","below","80.83","25.31","89.69","52.6","53","95.1","71.76","True","9.702","7.6761","7.7637","0.0876","415835310874.43494","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"3090","2941.4","2932","2955","16301","16301","16301","False","-148.6","below","83.38","40.07","88.75","50.9","51","99","73.53","True","9.621","7.6714","7.766","0.0946","416091445011.2621","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
