"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","6801","6801","6801","True","0","none","72.66","49.14","74.12","45.3","48","97.7","66.53","True","43.303","36.0912","36.844","0.7529","3655778246447.479","FLOP/s","True","65","76","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"960","960","960","960","6801","6801","6801","True","0","none","75.41","53.79","76.9","49.8","52","98","68.24","True","38.851","32.1543","32.8676","0.7133","4103379696525.7925","FLOP/s","True","57","68","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1065","1065","1065","1065","6801","6801","6801","True","0","none","90.31","64.19","93.11","54","56","97.8","80.17","True","35.407","28.762","29.5116","0.7496","4587356850205.466","FLOP/s","True","51","62","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1170","1170","1170","1170","6801","6801","6801","True","0","none","101.56","89.22","102.97","57.3","59","96.8","90.94","True","32.609","26.2808","26.9668","0.686","5020450407458.495","FLOP/s","True","47","57","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1275","1275","1275","1275","6801","6801","6801","True","0","none","115.27","96.81","117.32","60.1","62","97.5","99.68","True","30.725","24.3077","24.9965","0.6888","5427973062149.571","FLOP/s","True","44","54","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1380","1380","1380","1380","6801","6801","6801","True","0","none","126.47","79.62","131.43","62.6","64","96.5","109.04","True","28.553","22.5201","23.0412","0.521","5858822248731.476","FLOP/s","True","40","50","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1485","1485","1485","1485","6801","6801","6801","True","0","none","146.14","83.69","151.46","65.2","67","98","125.15","True","26.787","21.0524","21.5093","0.4569","6267272774651.868","FLOP/s","True","38","47","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1590","1589.6","1575","1590","6801","6801","6801","True","-0.4","none","169.03","142.25","174.76","68.6","71","96.2","142.54","True","25.516","19.7781","20.223","0.4449","6671084414214.398","FLOP/s","True","36","45","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1695","1617.1","1590","1695","6801","6801","6801","False","-77.9","below","168.57","136.84","173.23","69.1","71","96.9","140.23","True","25.723","19.8379","20.3046","0.4667","6650967075530.41","FLOP/s","True","36","46","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1800","1608.3","1590","1650","6801","6801","6801","False","-191.7","below","169.4","149.35","176.63","69.6","72","97.7","144.37","True","25.872","19.8624","20.3239","0.4615","6642780800601.359","FLOP/s","True","36","46","0x0000000000000001;0x0000000000000004"
"1905","1618","1575","1800","6801","6801","6801","False","-287","below","168.68","130.79","174.6","69.7","71","95","143.32","True","26.127","20.199","20.649","0.4499","6532062064447.287","FLOP/s","True","37","47","0x0000000000000600;0x0000000000000004"
"2010","1610","1575","1725","6801","6801","6801","False","-400","below","167.58","116.9","190.81","70","72","96.2","140.49","True","25.759","19.877","20.3877","0.5106","6637879816849.114","FLOP/s","True","36","46","0x0000000000000604;0x0000000000000004"
"2115","1617.9","1560","1830","6801","6801","6801","False","-497.1","below","166.59","117.02","173.78","70","72","97","138.94","True","26.008","19.9325","20.3913","0.4587","6619396992716.717","FLOP/s","True","36","46","0x0000000000000001;0x0000000000000004"
