"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","6801","6801","6801","True","0","none","85.5","77.27","86.15","57.4","58","90.4","64.64","True","16.046","10.683","10.9635","0.2805","361832452784.8555","byte/s","True","19","28","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"960","960","960","960","6801","6801","6801","True","0","none","83.43","56.54","86.65","55.8","56","91.3","63.58","True","15.756","10.7215","10.9949","0.2735","360535905321.588","byte/s","True","18","27","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1065","1065","1065","1065","6801","6801","6801","True","0","none","90.83","76.62","93.26","55.3","56","94.2","67.99","True","15.323","10.0129","10.24","0.227","386047210433.0903","byte/s","True","18","27","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","6801","6801","6801","True","0","none","94.65","64.49","97.53","55.1","56","86.4","72.16","True","14.89","9.7333","9.98","0.2467","397137000702.43634","byte/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","6801","6801","6801","True","0","none","96.59","57.82","99.58","55.6","57","87.7","73.75","True","14.828","9.6909","9.9087","0.2178","398874940842.1046","byte/s","True","18","26","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1380","1380","1380","1380","6801","6801","6801","True","0","none","102.44","83.12","104.65","56.4","57","90.5","75.94","True","14.806","9.7129","9.9076","0.1947","397972734454.37915","byte/s","True","17","26","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1485","1485","1485","1485","6801","6801","6801","True","0","none","104.33","63.49","108.95","57.3","59","87.8","79.67","True","14.906","9.7281","9.9572","0.2291","397350618636.7213","byte/s","True","18","26","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1590","1590","1590","1590","6801","6801","6801","True","0","none","115.72","82.31","120.06","58.7","60","87.6","88.06","True","14.896","9.7519","9.9832","0.2313","396380971250.9345","byte/s","True","18","26","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1695","1695","1695","1695","6801","6801","6801","True","0","none","125.24","106.44","128.36","60.8","62","90.3","91.76","True","14.739","9.7903","10.0472","0.2569","394827348147.76215","byte/s","True","17","26","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1800","1800","1800","1800","6801","6801","6801","True","0","none","137.67","65.38","143.87","62.4","65","86","105.73","True","14.857","9.9675","10.1535","0.186","387807784845.7435","byte/s","True","18","26","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1905","1905","1905","1905","6801","6801","6801","True","0","none","164.16","122.11","171.77","67.6","70","87.4","123.88","True","14.799","9.9296","10.1226","0.193","389289507793.3146","byte/s","True","18","26","0x0000000000000001;0x0000000000000400;0x0000000000000004;0x0000000000000000"
"2010","1906.7","1905","1920","6801","6801","6801","False","-103.3","below","164.73","96.56","172.13","67.8","70","85.3","123.9","True","14.823","9.9326","10.1299","0.1973","389168346739.42413","byte/s","True","18","26","0x0000000000000400;0x0000000000000000;0x0000000000000404;0x0000000000000004;0x0000000000000001"
"2115","1905","1905","1905","6801","6801","6801","False","-210","below","166.5","123.39","171.57","68.1","70","93.3","123.36","True","14.735","9.9412","10.1316","0.1904","388833686453.15674","byte/s","True","17","26","0x0000000000000400;0x0000000000000000;0x0000000000000404;0x0000000000000004;0x0000000000000001"
