target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
855,855.0,3575.8896160605036,73.29,6801.0,0.637,870.0,103
960,960.0,4064.9899472111083,82.44,6801.0,0.631,915.0,102
1065,1065.0,4505.592742041404,91.44,6801.0,0.644,1020.0,95
1170,1170.0,4931.808943272365,101.11,6801.0,0.669,1110.0,90
1275,1275.0,5335.8778388408955,113.46,6801.0,0.694,1215.0,84
1380,1380.0,5761.45830360821,127.66,6801.0,0.725,1320.0,83
1485,1485.0,6170.5607322498645,145.37,6801.0,0.769,1425.0,86
1590,1589.2,6556.808959815944,165.43,6801.0,0.819,1515.0,177
1695,1615.5,6557.242648551234,167.31,6801.0,0.831,1545.0,188
1800,1622.8,6547.296563452856,169.75,6801.0,0.831,1545.0,188
1905,1619.6,6542.993593073233,166.82,6801.0,0.831,1545.0,188
2010,1621.6,6539.53552169154,169.84,6801.0,0.831,1545.0,188
2115,1608.9,6536.663770405173,167.92,6801.0,0.825,1530.0,260
