"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","6801","6801","6801","True","0","none","84.7","77.68","86.09","57.7","58","90.2","67.89","True","15.659","10.9226","11.1725","0.2499","353896138808.69946","byte/s","True","20","27","0x0000000000000001;0x0000000000000000"
"960","960","960","960","6801","6801","6801","True","0","none","83.19","62.26","86.8","55.8","56","89.4","65.05","True","15.644","10.6301","10.8622","0.2321","363636146673.54987","byte/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","6801","6801","6801","True","0","none","90.18","65.87","92.43","55.5","56","87.7","70.81","True","14.611","10.0007","10.1999","0.1992","386520564520.70734","byte/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","6801","6801","6801","True","0","none","95.87","89.48","97.06","55.5","56","86.8","75.76","True","14.482","9.7115","9.9034","0.1918","398028462273.9969","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","6801","6801","6801","True","0","none","97.98","85.94","99.67","55.9","57","88.1","77.31","True","14.476","9.6834","9.8679","0.1845","399185633049.76917","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","6801","6801","6801","True","0","none","103.97","95.5","105.78","56.4","58","89.1","81.68","True","14.481","9.7009","9.8909","0.19","398464861728.96796","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","6801","6801","6801","True","0","none","106.97","89.34","108.62","57.7","59","90","83.98","True","14.432","9.7147","9.888","0.1733","397901076314.23425","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","6801","6801","6801","True","0","none","118.33","111.3","119.63","59.5","60","89","91.12","True","14.499","9.7379","9.9526","0.2146","396950758928.30334","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","6801","6801","6801","True","0","none","126.39","108.32","128.93","61.2","63","86.6","98.28","True","14.493","9.7687","9.9741","0.2054","395700552179.17053","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","6801","6801","6801","True","0","none","139.61","105.54","145.98","63.8","65","86.9","108.98","True","14.5","9.8068","10.0123","0.2055","394162143113.01776","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","6801","6801","6801","True","0","none","167.69","151.9","171.47","67.4","70","88.2","129.96","True","14.551","9.8388","10.0371","0.1983","392880490516.0694","byte/s","True","17","25","0x0000000000000001;0x0000000000000400;0x0000000000000000"
"2010","1900","1890","1920","6801","6801","6801","False","-110","below","163.93","110.53","168.98","67.9","70","88.2","128.97","True","14.555","9.8382","10.0636","0.2254","392905932693.8492","byte/s","True","18","26","0x0000000000000604;0x0000000000000400"
"2115","1897.9","1890","1920","6801","6801","6801","False","-217.1","below","159.93","62.7","168.29","67.5","70","87.3","125.96","True","14.504","9.8392","10.0512","0.2119","392863659996.2049","byte/s","True","19","26","0x0000000000000604;0x0000000000000600"
