"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","6801","6801","6801","True","0","none","81.63","57.77","84.53","55.1","56","91.7","68.88","True","18.109","13.4365","13.7677","0.3312","212281259510.5734","byte/s","True","25","32","0x0000000000000001;0x0000000000000000"
"960","960","960","960","6801","6801","6801","True","0","none","85.81","66.21","88.13","54.7","55","92","72.13","True","16.448","12.1902","12.4862","0.296","233984599665.2748","byte/s","True","22","29","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","6801","6801","6801","True","0","none","92.95","66.81","95.34","55.3","56","87.5","75.64","True","15.349","11.0569","11.3211","0.2641","257965889632.3088","byte/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","6801","6801","6801","True","0","none","99.24","69.75","103.92","56","57","89.7","79.65","True","14.717","10.2792","10.5568","0.2776","277483651680.686","byte/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","6801","6801","6801","True","0","none","106.98","75.72","110.5","57.1","58","86.1","84.56","True","14.147","9.6976","9.9032","0.2056","294126604673.85144","byte/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","6801","6801","6801","True","0","none","117.16","94.03","120.99","58.6","60","86.3","93.09","True","13.124","9.2958","9.5137","0.2179","306838102568.9903","byte/s","True","17","23","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","6801","6801","6801","True","0","none","127.2","101.29","130.09","59.7","61","85.4","100.53","True","12.961","8.9905","9.2103","0.2198","317258098998.4057","byte/s","True","17","23","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","6801","6801","6801","True","0","none","140.03","93.49","145.18","61.6","63","84.8","106.79","True","13.125","8.7873","9.0111","0.2238","324595708808.51935","byte/s","True","16","23","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","6801","6801","6801","True","0","none","159.51","146.65","162.5","64.5","66","86.2","123.47","True","12.501","8.6347","8.8351","0.2004","330330935878.75085","byte/s","True","16","22","0x0000000000000001;0x0000000000000000"
"1800","1784.1","1770","1800","6801","6801","6801","True","-15.9","none","170.39","121.33","177.97","66.1","68","85.5","128.97","True","12.919","8.5621","8.7695","0.2074","333133596894.8291","byte/s","True","16","23","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1905","1785.9","1740","1860","6801","6801","6801","False","-119.1","below","171.37","121.02","177.87","67.1","68","88.4","130.46","True","12.876","8.5579","8.7721","0.2143","333297273931.5345","byte/s","True","16","23","0x0000000000000001;0x0000000000000004"
"2010","1780.3","1755","1815","6801","6801","6801","False","-229.7","below","171.16","118.53","181.71","66.9","69","84.1","130.38","True","12.775","8.5591","8.7787","0.2196","333247519688.26355","byte/s","True","16","23","0x0000000000000001;0x0000000000000004;0x0000000000000400"
"2115","1773.8","1755","1815","6801","6801","6801","False","-341.2","below","171.38","116.72","178.04","67","69","88.1","130.58","True","12.82","8.5621","8.772","0.2099","333133511297.1546","byte/s","True","16","23","0x0000000000000600;0x0000000000000004;0x0000000000000400"
