"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","6801","6801","6801","True","0","none","84.62","63.46","87.37","55.8","57","92.5","73.76","True","19.372","15.192","15.5573","0.3653","3260392660424.0513","FLOP/s","True","28","34","0x0000000000000001;0x0000000000000000"
"960","960","960","960","6801","6801","6801","True","0","none","92.17","63.93","96.87","55.6","57","89.8","78.95","True","17.683","13.4623","13.7944","0.3322","3679305589963.2524","FLOP/s","True","24","31","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","6801","6801","6801","True","0","none","99.13","63.86","102.34","56.3","57","88.5","81.41","True","16.442","12.1356","12.4596","0.324","4081543296403.508","FLOP/s","True","22","29","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","6801","6801","6801","True","0","none","111","74.88","113.47","57.4","58","89.6","89","True","15.402","11.0967","11.3367","0.2401","4463656949103.914","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","6801","6801","6801","True","0","none","122.63","107.5","125.21","58.7","60","90","96.83","True","14.728","10.2272","10.4837","0.2565","4843139340139.44","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","6801","6801","6801","True","0","none","136.14","101.31","139.17","60.4","62","87","107.31","True","13.653","9.4568","9.6326","0.1759","5237694997718.364","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","6801","6801","6801","True","0","none","155.28","144.43","157.76","62.1","64","86.1","116.58","True","13.203","8.8583","9.0534","0.1951","5591602702515.654","FLOP/s","True","16","23","0x0000000000000001;0x0000000000000000"
"1590","1579.7","1560","1590","6801","6801","6801","True","-10.3","none","170.07","166.25","174.34","63.4","65","89.1","127.04","True","13.116","8.5433","8.7491","0.2058","5797768012368.462","FLOP/s","True","16","23","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1695","1583.4","1560","1620","6801","6801","6801","False","-111.6","below","170.15","165.32","183.29","64.1","65","85.5","127.57","True","12.915","8.5411","8.7452","0.2041","5799248700935.749","FLOP/s","True","16","23","0x0000000000000001;0x0000000000000004"
"1800","1583.4","1560","1620","6801","6801","6801","False","-216.6","below","168.54","141.36","176.42","63.6","66","86.2","127.44","True","12.923","8.5393","8.7713","0.232","5800426840815.474","FLOP/s","True","16","23","0x0000000000000001;0x0000000000000004"
"1905","1574.1","1545","1590","6801","6801","6801","False","-330.9","below","170.22","158.99","186.25","64.8","66","87.2","129.43","True","13.009","8.5366","8.7682","0.2315","5802255168151.336","FLOP/s","True","16","23","0x0000000000000001;0x0000000000000004"
"2010","1590.9","1560","1800","6801","6801","6801","False","-419.1","below","168.74","153.61","174.08","64.3","66","86.9","128.51","True","12.755","8.5493","8.7718","0.2225","5793681429324.725","FLOP/s","True","16","23","0x0000000000000004;0x0000000000000400"
"2115","1580.6","1560","1635","6801","6801","6801","False","-534.4","below","172.87","160.52","197.18","64.9","66","86.5","131.57","True","12.796","8.5523","8.7563","0.204","5791660478098.347","FLOP/s","True","16","23","0x0000000000000600;0x0000000000000004;0x0000000000000400"
