target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
900,900.0,3807.1603622645925,73.66,6801.0,0.644,870.0,80
915,915.0,3869.8983082819263,74.97,6801.0,0.644,885.0,74
945,945.0,3958.486462789132,74.27,6801.0,0.637,915.0,76
960,960.0,4067.344579437166,78.32,6801.0,0.637,915.0,74
975,975.0,4168.419981479209,82.5,6801.0,0.631,945.0,71
1005,1005.0,4292.863024539017,86.74,6801.0,0.631,960.0,71
1020,1020.0,4378.605226586274,84.11,6801.0,0.637,990.0,70
1035,1035.0,4419.5231099983175,87.86,6801.0,0.637,990.0,67
1065,1065.0,4544.763896901474,91.43,6801.0,0.644,1020.0,67
1080,1080.0,4582.932646466178,87.3,6801.0,0.65,1050.0,67
1095,1095.0,4668.865832313466,94.51,6801.0,0.65,1050.0,65
1125,1125.0,4787.3583716466,96.11,6801.0,0.656,1080.0,63
1140,1140.0,4884.179187538286,94.72,6801.0,0.662,1095.0,63
