"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"840","840","840","840","7301","7301","7301","True","0","none","63.19","20.73","66.9","38.3","39","96.5","56.02","True","15.258","12.3914","12.6438","0.2524","238132097252.2582","byte/s","True","23","28","0x0000000000000001;0x0000000000000000"
"945","945","945","945","6991.9","810","7301","True","0","none","63.04","12.57","68.45","39","40","92.6","54.97","True","13.562","10.9732","11.1615","0.1882","268908803016.9037","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1050","1050","1050","1050","7301","7301","7301","True","0","none","66.98","22.4","72.07","39.6","41","96","58.1","True","13.066","10.3369","10.5462","0.2093","285463936070.16113","byte/s","True","19","24","0x0000000000000001;0x0000000000000000"
"1155","1155","1155","1155","7301","7301","7301","True","0","none","69.83","21.99","75.22","40","41","94.8","60.16","True","12.441","9.6987","9.8729","0.1742","304247318549.86536","byte/s","True","18","23","0x0000000000000001;0x0000000000000000"
"1260","1260","1260","1260","7301","7301","7301","True","0","none","71.63","22.28","77.41","40.4","41","96.1","61.15","True","11.917","9.2629","9.4292","0.1663","318560474573.51917","byte/s","True","17","22","0x0000000000000001;0x0000000000000000"
"1365","1365","1365","1365","7301","7301","7301","True","0","none","75.76","25.07","81.76","41.2","42","95.6","64.62","True","11.959","9.0768","9.2403","0.1635","325093879561.25","byte/s","True","17","22","0x0000000000000001;0x0000000000000000"
"1470","1470","1470","1470","7301","7301","7301","True","0","none","79.56","22.67","86.25","42.1","43","98","67.09","True","11.401","8.9847","9.1202","0.1355","328425683672.0224","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1575","1575","1575","1575","7301","7301","7301","True","0","none","84.48","31.9","90.67","43.4","45","95.9","71.37","True","11.347","8.9709","9.1242","0.1533","328930526669.0577","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1680","1680","1680","1680","7301","7301","7301","True","0","none","91.11","36.09","97.75","45.2","47","97.7","76.92","True","11.363","8.9647","9.1396","0.1749","329156275352.4707","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1785","1785","1785","1785","6919.2","810","7301","True","0","none","99.07","18.31","106.84","46.8","49","94.2","83.67","True","11.413","8.9618","9.1112","0.1494","329265257432.6426","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1890","1890","1890","1890","6919.2","810","7301","True","0","none","108.27","21.34","120.46","49.7","52","94.1","91.73","True","11.399","8.9537","9.1155","0.1618","329562923371.4223","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1995","1922.2","1912","1927","6919.2","810","7301","False","-72.8","below","111.3","23.1","123.88","51.2","54","94.1","94.56","True","11.356","8.9544","9.1308","0.1764","329536843605.0327","byte/s","True","17","21","0x0000000000000400"
"2100","1924.8","1912","1927","7301","7301","7301","False","-175.2","below","111.54","23.55","123.97","51.9","54","94.2","94.78","True","11.454","8.9542","9.12","0.1657","329542956485.0162","byte/s","True","17","21","0x0000000000000400"
