target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
840,840.0,238.1320972522582,63.19,7301.0,0.756,802.0,430
945,945.0,268.9088030169037,63.04,6991.9,0.756,892.0,392
1050,1050.0,285.46393607016114,66.98,7301.0,0.756,990.0,367
1155,1155.0,304.2473185498654,69.83,7301.0,0.756,1095.0,333
1260,1260.0,318.5604745735192,71.63,7301.0,0.756,1200.0,310
1365,1365.0,325.09387956125,75.76,7301.0,0.787,1297.0,292
1470,1470.0,328.4256836720224,79.56,7301.0,0.831,1395.0,311
1575,1575.0,328.93052666905766,84.48,7301.0,0.869,1492.0,336
1680,1680.0,329.1562753524707,91.11,7301.0,0.919,1590.0,506
1785,1785.0,329.26525743264256,99.07,6919.2,0.975,1687.0,321
1890,1890.0,329.5629233714223,108.27,6919.2,1.069,1792.0,463
1995,1922.2,329.53684360503274,111.3,6919.2,1.081,1815.0,540
2100,1924.8,329.5429564850162,111.54,7301.0,1.081,1815.0,540
