"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"840","840","840","840","7301","7301","7301","True","0","none","64.96","12.91","69.54","43.5","44","94.1","58.1","True","16.288","13.367","13.616","0.249","225690446460.85938","byte/s","True","25","30","0x0000000000000001;0x0000000000000000"
"945","945","945","945","7301","7301","7301","True","0","none","68.09","22.52","72.29","42.9","44","98.7","59.88","True","14.713","12.2296","12.4574","0.2277","246679272047.22772","byte/s","True","23","27","0x0000000000000001;0x0000000000000000"
"1050","1050","1050","1050","6991.9","810","7301","True","0","none","70.87","12.84","77.06","42.5","44","91.8","61.57","True","13.546","11.0385","11.2369","0.1985","273299034884.2577","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1155","1155","1155","1155","7301","7301","7301","True","0","none","76.6","29.36","81.41","42.9","44","98.5","65.55","True","12.488","9.9396","10.0948","0.1552","303513302294.4483","byte/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1260","1260","1260","1260","7301","7301","7301","True","0","none","77.4","24.79","83.59","42.9","44","95.4","66.01","True","11.893","9.1899","9.3413","0.1514","328273587786.98755","byte/s","True","17","22","0x0000000000000001;0x0000000000000000"
"1365","1365","1365","1365","7301","7301","7301","True","0","none","80.23","26.6","86.57","43.2","44","94.7","67.54","True","11.431","8.9936","9.1374","0.1438","335436833312.6211","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1470","1470","1470","1470","7301","7301","7301","True","0","none","85.69","31.66","91.7","44.2","45","96.1","72.72","True","11.889","8.9676","9.118","0.1504","336412850560.49664","byte/s","True","17","22","0x0000000000000001;0x0000000000000000"
"1575","1575","1575","1575","6919.2","810","7301","True","0","none","89.77","15.54","97.02","45.1","47","91.8","75.61","True","11.414","8.9635","9.1159","0.1524","336565532376.0505","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1680","1680","1680","1680","6919.2","810","7301","True","0","none","95.68","16.82","103.93","46.3","48","91.4","80.62","True","11.412","8.9577","9.1252","0.1675","336783063759.34033","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1785","1785","1785","1785","6919.2","810","7301","True","0","none","100.94","18.9","111.78","48","50","92.2","85.27","True","11.391","8.9573","9.1055","0.1482","336798189738.73096","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1890","1890","1890","1890","6919.2","810","7301","True","0","none","110.5","21.61","124.69","50.7","53","94.2","93.58","True","11.375","8.9522","9.1232","0.171","336989654703.58655","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1995","1922.7","1905","1927","7301","7301","7301","False","-72.3","below","115.79","23.69","127.77","52.2","54","94.1","98.16","True","11.446","8.9515","9.0989","0.1474","337016827761.38434","byte/s","True","17","21","0x0000000000000400"
"2100","1924","1905","1927","7301","7301","7301","False","-176","below","116.41","25.11","127.89","52.8","55","96.8","98.72","True","11.389","8.9517","9.1126","0.1609","337007276410.2629","byte/s","True","17","21","0x0000000000000400"
