"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"840","840","840","840","7301","7301","7301","True","0","none","62.54","17.59","66","44.1","45","99.3","56.36","True","17.32","14.5066","14.8091","0.3025","160639633869.65778","byte/s","True","27","32","0x0000000000000001;0x0000000000000000"
"945","945","945","945","7301","7301","7301","True","0","none","66.21","23.71","69.76","43.5","44","97.3","58.84","True","15.776","13.1464","13.4069","0.2605","177259592462.96634","byte/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1050","1050","1050","1050","7006","810","7301","True","0","none","68.7","12.9","75.07","43","44","93.1","60.68","True","14.616","11.9118","12.1318","0.22","195632020249.8978","byte/s","True","22","27","0x0000000000000001;0x0000000000000000"
"1155","1155","1155","1155","7301","7301","7301","True","0","none","74.47","24.67","79.34","43.2","44","96.4","64.74","True","13.6","10.9451","11.1508","0.2057","212911445564.53314","byte/s","True","20","25","0x0000000000000001;0x0000000000000000"
"1260","1260","1260","1260","7301","7301","7301","True","0","none","74.67","14.27","81.22","43.1","44","96.7","64.62","True","13.027","10.2766","10.4629","0.1864","226761035969.6135","byte/s","True","19","24","0x0000000000000001;0x0000000000000000"
"1365","1365","1365","1365","7301","7301","7301","True","0","none","78.54","13.71","86.8","43.5","45","94.8","67.58","True","12.523","9.9115","10.0825","0.1711","235114212098.95413","byte/s","True","18","23","0x0000000000000001;0x0000000000000000"
"1470","1470","1470","1470","6940.4","810","7301","True","0","none","84.53","14.44","92.99","44.5","46","94.3","72.7","True","12.53","9.6218","9.7638","0.142","242192463361.52713","byte/s","True","18","23","0x0000000000000001;0x0000000000000000"
"1575","1575","1575","1575","7301","7301","7301","True","0","none","94.52","29.93","101.96","46.3","48","97.4","80.11","True","11.918","9.4045","9.574","0.1695","247788540182.06516","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1680","1680","1680","1680","7301","7301","7301","True","0","none","103.77","46.88","110.24","48.1","50","99.1","88.2","True","11.937","9.214","9.384","0.1699","252911093052.66983","byte/s","True","17","22","0x0000000000000001;0x0000000000000000"
"1785","1785","1785","1785","7301","7301","7301","True","0","none","114.35","46.2","122.18","50.2","52","99.6","97.05","True","11.906","9.0369","9.191","0.1541","257867731870.13452","byte/s","True","17","22","0x0000000000000001;0x0000000000000000"
"1890","1890","1890","1890","6919.2","810","7301","True","0","none","127.61","21.56","138.49","52.5","55","93.2","107.4","True","11.389","8.8777","9.0328","0.1551","262491322818.9428","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1995","1925.3","1905","1927","6919.2","810","7301","False","-69.7","below","131.82","23.25","146.07","54.7","58","94.2","111.15","True","11.411","8.8351","8.9891","0.154","263758108517.15887","byte/s","True","17","21","0x0000000000000400"
"2100","1919.1","1905","1920","6919.2","810","7301","False","-180.9","below","131.92","23.64","146.38","55.3","58","94.1","111.21","True","11.446","8.8349","9.0103","0.1754","263764443565.7655","byte/s","True","17","21","0x0000000000000400"
