"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"840","840","840","840","7301","7301","7301","True","0","none","69.44","35.73","71.44","49","50","98","62.39","True","21.755","18.4887","18.7989","0.3102","3839951094680.591","FLOP/s","True","34","40","0x0000000000000001;0x0000000000000000"
"945","945","945","945","7301","7301","7301","True","0","none","73.25","48.89","75.12","47.6","48","97.4","65.12","True","19.478","16.4197","16.6851","0.2654","4323812540217.936","FLOP/s","True","30","36","0x0000000000000001;0x0000000000000000"
"1050","1050","1050","1050","7301","7301","7301","True","0","none","77.19","19.33","81.53","47.1","48","97.5","69.54","True","17.973","14.7659","15.0077","0.2418","4808106548111.112","FLOP/s","True","28","33","0x0000000000000001;0x0000000000000000"
"1155","1155","1155","1155","7301","7301","7301","True","0","none","81.98","23.01","86.56","47.2","48","99.7","72.79","True","16.249","13.4231","13.6569","0.2338","5289058514503.552","FLOP/s","True","26","30","0x0000000000000001;0x0000000000000000"
"1260","1260","1260","1260","7018.8","810","7301","True","0","none","85.09","13.21","92.2","47.3","49","93.4","75.06","True","15.201","12.3108","12.5156","0.2048","5766975234804.62","FLOP/s","True","23","28","0x0000000000000001;0x0000000000000000"
"1365","1365","1365","1365","7301","7301","7301","True","0","none","97.21","24.15","104.35","49.1","51","100","84.36","True","14.113","11.3825","11.5703","0.1878","6237286169399.837","FLOP/s","True","22","26","0x0000000000000001;0x0000000000000000"
"1470","1470","1470","1470","7311","7301","7501","True","0","none","106.28","14.66","118.38","50.8","53","93.4","92.14","True","13.547","10.5955","10.7592","0.1637","6700560422922.311","FLOP/s","True","20","25","0x0000000000000001;0x0000000000000000"
"1575","1575","1575","1575","6959.4","810","7301","True","0","none","122.39","15.53","135.19","53.5","56","92.9","103.84","True","12.443","9.9001","10.0506","0.1505","7171247012446.0625","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1680","1680","1680","1680","6940.4","810","7301","True","0","none","143.41","17.77","159.71","56.9","60","89.5","120.5","True","11.887","9.2976","9.4651","0.1675","7635904170595.582","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1785","1711.6","1597","1785","7301","7301","7301","False","-73.4","below","152.49","19.37","170.85","59","62","93.2","128.91","True","11.922","9.1277","9.2973","0.1696","7778041962283.729","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1890","1714.9","1582","1890","7301","7301","7301","False","-175.1","below","153.31","22.87","171.24","60.1","63","93.6","130.1","True","11.963","9.1318","9.3039","0.1721","7774611591740.508","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1995","1718.5","1657","1912","6919.2","810","7301","False","-276.5","below","153.89","23.31","170.35","60.8","64","90.9","130.78","True","11.976","9.1431","9.3238","0.1807","7764922434497.136","FLOP/s","True","17","22","0x0000000000000004;0x0000000000000400"
"2100","1721.6","1665","1912","7312.8","7301","7501","False","-378.4","below","154.22","23.89","170.22","61.4","65","91.9","131.1","True","11.922","9.1569","9.3129","0.156","7753270749557.145","FLOP/s","True","17","22","0x0000000000000004;0x0000000000000400"
