"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"840","840","840","840","7301","7301","7301","True","0","none","66.79","65.46","68.12","47","47","98.4","58.25","True","20.098","15.9461","16.1998","0.2537","1535252724828.7903","FLOP/s","True","29","37","0x0000000000000001;0x0000000000000000"
"945","945","945","945","7301","7301","7301","True","0","none","73.62","72.43","74.34","45.7","46","98.5","63.95","True","17.876","14.1823","14.4127","0.2304","1726190733742.8445","FLOP/s","True","27","33","0x0000000000000001;0x0000000000000000"
"1050","1050","1050","1050","7301","7301","7301","True","0","none","77.67","76.45","78.64","45.1","46","98.4","65.58","True","16.799","12.8472","13.0929","0.2457","1905573706959.7468","FLOP/s","True","24","31","0x0000000000000001;0x0000000000000000"
"1155","1155","1155","1155","7301","7301","7301","True","0","none","80.05","78.83","80.99","44.9","46","94.5","66.97","True","15.189","11.793","11.9473","0.1543","2075926832491.8428","FLOP/s","True","22","28","0x0000000000000001;0x0000000000000000"
"1260","1260","1260","1260","7301","7301","7301","True","0","none","85.75","84.22","86.65","45.2","46","98.4","72.12","True","14.636","10.9666","11.126","0.1595","2232360968938.417","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1365","1365","1365","1365","7301","7301","7301","True","0","none","90.69","86.1","92.17","46.1","47","100","74.21","True","14.08","10.3561","10.5525","0.1964","2363943277559.4336","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1470","1470","1470","1470","7301","7301","7301","True","0","none","97.07","48.12","102.03","47.5","49","94.5","80.58","True","13.57","9.8879","10.054","0.166","2475881959801.7476","FLOP/s","True","19","25","0x0000000000000001;0x0000000000000000"
"1575","1575","1575","1575","7301","7301","7301","True","0","none","107.29","80.84","110.26","49.2","51","96","88.3","True","13.056","9.5592","9.719","0.1598","2561023234902.341","FLOP/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1680","1680","1680","1680","7301","7301","7301","True","0","none","118.5","78.23","122.52","51.6","53","98.8","98.04","True","12.998","9.3209","9.4918","0.1709","2626496809589.1323","FLOP/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1785","1785","1785","1785","7301","7301","7301","True","0","none","130.29","77.63","135.79","53.9","56","100","106.28","True","12.477","9.1498","9.3078","0.158","2675608634936.9795","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"1890","1890","1890","1890","7301","7301","7301","True","0","none","152.59","99.11","159.4","57.8","60","99.5","125.12","True","12.479","9.0089","9.1623","0.1534","2717460740593.566","FLOP/s","True","17","23","0x0000000000000001;0x0000000000000000"
"1995","1913.8","1905","1920","7301","7301","7301","False","-81.2","below","159.47","94.78","165.91","60.1","62","98.1","130.48","True","12.491","8.9835","9.1334","0.1499","2725132704748.9595","FLOP/s","True","17","23","0x0000000000000400"
"2100","1908.5","1905","1920","7301","7301","7301","False","-191.5","below","158.96","90.31","166.12","61.1","63","99.1","129.27","True","12.495","8.9913","9.156","0.1647","2722772915695.8506","FLOP/s","True","17","23","0x0000000000000400"
