"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"840","840","840","840","7301","7301","7301","True","0","none","73","30.81","75.9","48","49","98.9","65.1","True","20.608","17.0627","17.3878","0.3251","4925933534804.517","FLOP/s","True","32","38","0x0000000000000001;0x0000000000000000"
"945","945","945","945","7301","7301","7301","True","0","none","79.46","55.49","81.57","47.3","48","98.3","69.69","True","18.465","15.2209","15.526","0.3051","5522013012015.347","FLOP/s","True","28","34","0x0000000000000001;0x0000000000000000"
"1050","1050","1050","1050","7301","7301","7301","True","0","none","83.84","56.62","86.08","47.2","48","97.6","72.38","True","16.784","13.7863","14.0226","0.2363","6096616420057.423","FLOP/s","True","26","31","0x0000000000000001;0x0000000000000000"
"1155","1155","1155","1155","7301","7301","7301","True","0","none","86.91","37.1","91.27","47.7","49","98.4","74.34","True","15.749","12.601","12.8399","0.2389","6670076676293.944","FLOP/s","True","23","29","0x0000000000000001;0x0000000000000000"
"1260","1260","1260","1260","7301","7301","7301","True","0","none","93.09","53.54","96.66","48.2","49","96.5","78.5","True","14.623","11.6388","11.8449","0.2061","7221545447625.827","FLOP/s","True","21","27","0x0000000000000001;0x0000000000000000"
"1365","1365","1365","1365","7301","7301","7301","True","0","none","100.96","39.48","108.11","49.8","51","96.1","84.28","True","14.137","10.8655","11.0147","0.1492","7735488559483.959","FLOP/s","True","20","26","0x0000000000000001;0x0000000000000000"
"1470","1470","1470","1470","7301","7301","7301","True","0","none","111.09","30.35","120.92","51.6","53","98","94.97","True","13.004","10.2363","10.3917","0.1553","8210919853251.267","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1575","1575","1575","1575","7301","7301","7301","True","0","none","130.32","86.03","135.43","54.4","56","96.2","106.07","True","12.487","9.6967","9.8598","0.1631","8667845822181.386","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"1680","1680","1680","1680","7301","7301","7301","True","0","none","143.21","32.25","155.97","56.9","60","97.3","121.64","True","12.485","9.2432","9.4069","0.1638","9093183516755.402","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"1785","1734.8","1687","1785","7301","7301","7301","False","-50.2","below","161.79","93.3","169.35","60","62","97.5","129.72","True","11.933","9.0491","9.2311","0.182","9288200420106.717","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1890","1721.5","1680","1822","7301","7301","7301","False","-168.5","below","155.41","33.81","169.8","59.9","63","96.2","131.66","True","11.95","9.0604","9.2207","0.1603","9276624600057.307","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000004"
"1995","1717.6","1680","1747","7301","7301","7301","False","-277.4","below","155.59","31.89","169.9","60.8","64","95.2","131.59","True","11.907","9.0598","9.2241","0.1643","9277222678782.734","FLOP/s","True","18","22","0x0000000000000004;0x0000000000000400"
"2100","1715.9","1672","1762","7301","7301","7301","False","-384.1","below","156.14","33.96","169.73","61.9","64","96.1","132.04","True","11.929","9.0763","9.2379","0.1616","9260371913851.666","FLOP/s","True","18","22","0x0000000000000004;0x0000000000000400"
