target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
855,855.0,8222.648375050114,164.29,9251.0,0.825,1410.0,9
960,960.0,9225.12401998172,173.0,9251.0,0.819,1410.0,7
1065,1065.0,10210.99886868483,183.96,9251.0,0.819,1410.0,7
1170,1170.0,11221.199509311493,194.01,9251.0,0.819,1410.0,7
1275,1275.0,12221.380692512083,196.59,9251.0,0.819,1410.0,5
1380,1380.0,13226.423115910953,201.63,9251.0,0.819,1410.0,6
1485,1485.0,14271.567527781766,218.72,9251.0,0.819,1410.0,5
1605,1605.0,15404.260223319414,235.85,9251.0,0.825,1530.0,5
1710,1710.0,16404.525722948765,258.12,9251.0,0.869,1620.0,5
1815,1777.0,17037.71936500745,283.41,9251.0,0.906,1695.0,13
1920,1780.0,17056.504682536834,284.55,9251.0,0.906,1695.0,13
2025,1773.0,17049.54186439517,293.42,9251.0,0.906,1695.0,11
2130,1769.0,17032.175384825176,296.45,9251.0,0.906,1695.0,11
