target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
855,855.0,547.9156666389558,177.35,9270.2,0.819,1410.0,3
960,960.0,548.0838317866784,187.1,9251.0,0.819,1410.0,4
1065,1065.0,548.6710040135667,194.7,9251.0,0.819,1410.0,4
1170,1170.0,548.4690129532615,188.46,9251.0,0.819,1410.0,4
1275,1275.0,548.415717914164,194.39,9251.0,0.825,1410.0,3
1380,1380.0,548.4061634086153,191.9,9251.0,0.825,1410.0,4
1485,1485.0,548.7806798880262,196.76,9251.0,0.819,1410.0,5
1605,1605.0,548.8045682470396,188.66,9251.0,0.825,1530.0,4
1710,1710.0,548.7069865769503,205.41,9251.0,0.869,1635.0,3
1815,1815.0,549.0686473989622,221.9,9251.0,0.919,1725.0,4
1920,1920.0,549.1759387703232,231.16,9251.0,1.0,1830.0,5
2025,2023.9,549.2319491319446,244.42,9251.0,1.081,1935.0,8
2130,2023.8,549.457541960124,250.9,9251.0,1.081,1935.0,8
