"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1200","1200","1200","1200","9251","9251","9251","True","0","none","195.05","145.8","199.37","50.3","52","99.3","163.96","True","14.742","11.4668","11.6026","0.1358","11506372803818.844","FLOP/s","True","21","27","0x0000000000000001;0x0000000000000000"
"1245","1245","1245","1245","9251","9251","9251","True","0","none","196.32","111.08","203.52","53.5","55","98.1","169.43","True","14.092","11.0564","11.2068","0.1503","11933453253872.863","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000000"
"1290","1290","1290","1290","9251","9251","9251","True","0","none","197.56","87.01","207.44","52.3","53","100","169.54","True","13.572","10.6731","10.842","0.1689","12362065703234.281","FLOP/s","True","20","25","0x0000000000000001;0x0000000000000000"
"1335","1335","1335","1335","9251","9251","9251","True","0","none","199.43","64.3","213.92","52.9","55","100","170.21","True","13.03","10.3117","10.4522","0.1404","12795273496239.459","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","201.5","48.96","217.11","52.8","54","98.9","170.25","True","12.488","9.9721","10.1281","0.1559","13231011318723.025","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1410","1410","1410","1410","9251","9251","9251","True","0","none","206.78","31.01","222.35","53.1","55","94.3","175.16","True","12.454","9.7468","9.9","0.1533","13536960902250.625","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"1455","1455","1455","1455","9251","9251","9251","True","0","none","216.64","44.12","230.32","53.4","55","94.8","181.3","True","11.943","9.4337","9.5638","0.1301","13986152110308.12","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1500","1500","1500","1500","9251","9251","9251","True","0","none","221.66","47.54","235.51","53.5","55","97.8","186.03","True","11.951","9.1532","9.3035","0.1503","14414707484182.13","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"1545","1545","1545","1545","9251","9251","9251","True","0","none","226.99","42.34","242.75","53.9","56","98.2","188.24","True","11.368","8.8933","9.0397","0.1463","14836026070546.941","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","225.82","49.02","246.98","54.1","56","97.2","188.32","True","11.412","8.6434","8.7914","0.148","15264949627492.293","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
