target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1200,1200.0,11506.372803818844,195.05,9251.0,0.819,1410.0,6
1245,1245.0,11933.453253872864,196.32,9251.0,0.819,1410.0,6
1290,1290.0,12362.06570323428,197.56,9251.0,0.819,1410.0,6
1335,1335.0,12795.273496239459,199.43,9251.0,0.819,1410.0,5
1380,1380.0,13231.011318723025,201.5,9251.0,0.819,1410.0,6
1410,1410.0,13536.960902250625,206.78,9251.0,0.819,1410.0,6
1455,1455.0,13986.15211030812,216.64,9251.0,0.819,1410.0,5
1500,1500.0,14414.70748418213,221.66,9251.0,0.819,1440.0,5
1545,1545.0,14836.02607054694,226.99,9251.0,0.819,1470.0,4
1590,1590.0,15264.949627492293,225.82,9251.0,0.819,1515.0,6
