"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","130.75","92.32","134.07","47","49","100","48.67","True","58.245","16.0857","16.3964","0.3106","8202379885540.492","FLOP/s","True","30","107","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","138.14","86.99","141.83","51.5","54","98.7","119.53","True","17.394","14.3368","14.5873","0.2505","9202997289316.916","FLOP/s","True","26","32","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","147.35","83.96","152.24","55.5","57","98.2","125.77","True","16.308","12.9345","13.1726","0.238","10200698935556.25","FLOP/s","True","24","30","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","157.41","97.98","163.76","58.9","60","99","131.87","True","14.637","11.7848","11.955","0.1702","11195942089497.521","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","160.25","26.95","173.3","57.2","58","96.4","137.57","True","13.557","10.8198","10.9652","0.1454","12194391492586.16","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","171.88","63.94","183.21","57.8","59","97.8","146.95","True","13.031","9.9779","10.1337","0.1558","13223347527798.18","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","184.59","68.46","196.93","58.6","60","97.9","154.87","True","11.92","9.2686","9.4171","0.1485","14235284773420.057","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","205.24","54.23","223.1","60","62","98.2","170.39","True","11.459","8.6682","8.8484","0.1802","15221299928542.098","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","245.86","107.22","262.8","62.2","64","100","202.3","True","10.83","8.1289","8.2866","0.1577","16231138830437.291","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"1800","1762","1710","1785","9251","9251","9251","False","-38","below","271.72","119.09","289.62","63.5","66","97.5","220.05","True","10.404","7.8148","7.9508","0.136","16883548832367.932","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004"
"1905","1773","1740","1905","9251","9251","9251","False","-132","below","272.13","110.46","289.7","64.2","66","97.5","224.07","True","11.022","7.8108","7.9407","0.1299","16892141899804.697","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000004"
"2010","1768.9","1725","1875","9251","9251","9251","False","-241.1","below","275.31","144.33","289.76","64.2","66","98.3","215.37","True","11.078","7.8111","7.9322","0.1211","16891566435421.81","FLOP/s","True","14","20","0x0000000000000004;0x0000000000000000"
"2115","1764","1740","1785","9251","9251","9251","False","-351","below","267.9","82.42","289.67","63.9","66","96.9","218.41","True","10.305","7.8241","7.9428","0.1187","16863485385999.328","FLOP/s","True","15","19","0x0000000000000004;0x0000000000000000"
