target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
855,855.0,8184.275438456463,130.27,9251.0,0.819,1335.0,33
960,960.0,9181.067803892065,138.57,9251.0,0.819,1335.0,28
1065,1065.0,10179.104073581533,145.71,9251.0,0.812,1335.0,25
1170,1170.0,11171.3530296,156.61,9251.0,0.819,1335.0,25
1275,1275.0,12162.610533318668,161.41,9251.0,0.819,1335.0,22
1380,1380.0,13193.213105887735,172.61,9251.0,0.819,1335.0,20
1485,1485.0,14203.358152610544,188.29,9251.0,0.812,1410.0,19
1590,1590.0,15198.14417959803,206.57,9251.0,0.85,1515.0,19
1695,1695.0,16198.076953938986,237.32,9251.0,0.894,1605.0,19
1800,1763.0,16862.16039373474,261.85,9251.0,0.931,1665.0,58
1905,1769.0,16841.625099448727,269.84,9251.0,0.931,1665.0,50
2010,1763.0,16851.141589948966,274.91,9251.0,0.931,1665.0,58
2115,1759.0,16836.7156538516,261.67,9251.0,0.931,1665.0,53
