target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1200,1200.0,11481.313549070303,158.66,9251.0,0.825,1335.0,23
1245,1245.0,11909.004123998824,155.18,9251.0,0.819,1335.0,24
1290,1290.0,12337.237920912867,163.34,9251.0,0.812,1335.0,21
1335,1335.0,12769.729280356409,166.58,9251.0,0.812,1335.0,21
1380,1380.0,13222.310724095061,170.28,9251.0,0.812,1335.0,22
1410,1410.0,13520.62171546254,173.22,9251.0,0.812,1335.0,20
1455,1455.0,13956.358517300014,177.59,9251.0,0.812,1380.0,20
1500,1500.0,14375.808101740175,180.81,9251.0,0.812,1425.0,19
1545,1545.0,14805.026498307185,194.33,9251.0,0.831,1470.0,19
1590,1590.0,15226.133073369736,205.12,9251.0,0.85,1515.0,19
