clock_mhz,power_w,temp_c,fan1_rpm,fan2_rpm
855.0,131.7,49.1,0,0
855.0,132.6,49.6,0,0
855.0,132.1,49.9,0,0
855.0,132.1,49.3,0,0
855.0,130.1,50.2,0,0
855.0,130.2,50.6,0,0
855.0,132.4,50.8,0,0
855.0,132.5,49.7,0,0
855.0,130.6,51.0,0,0
855.0,130.8,51.2,0,0
855.0,132.9,51.3,0,0
855.0,132.8,50.5,0,0
855.0,130.5,51.6,0,0
855.0,130.4,51.7,0,0
855.0,132.8,51.8,0,0
855.0,133.0,51.5,0,0
855.0,130.7,52.0,0,0
855.0,130.8,52.2,0,0
855.0,133.5,52.4,0,0
855.0,133.6,52.4,0,0
855.0,130.8,52.5,0,0
855.0,130.6,52.7,0,0
855.0,133.3,52.8,0,0
855.0,133.3,52.9,0,0
855.0,131.0,53.0,0,0
855.0,131.1,53.2,0,0
855.0,132.6,53.3,0,0
855.0,133.5,53.4,0,0
855.0,131.0,53.5,0,0
855.0,131.2,53.6,0,0
855.0,131.3,53.7,0,0
855.0,133.7,53.9,0,0
855.0,132.5,49.5,0,0
960.0,101.6,48.8,0,0
960.0,140.4,54.0,0,0
960.0,141.2,54.4,0,0
960.0,141.3,54.6,0,0
960.0,141.3,54.4,0,0
960.0,139.1,54.9,0,0
960.0,139.2,55.2,0,0
960.0,139.4,55.3,0,0
960.0,141.5,55.5,0,0
960.0,141.6,55.5,0,0
960.0,138.8,55.6,0,0
960.0,138.8,55.8,0,0
960.0,141.8,56.1,0,0
960.0,141.7,56.2,0,0
960.0,138.8,56.1,0,0
960.0,138.7,56.4,0,0
960.0,141.6,56.5,0,0
960.0,141.7,56.7,0,0
960.0,141.6,56.8,0,0
960.0,138.6,56.7,0,0
960.0,138.6,56.9,0,0
960.0,141.9,57.1,0,0
960.0,142.0,57.2,0,0
960.0,142.1,57.3,0,0
960.0,137.7,57.2,0,0
960.0,137.8,57.4,0,0
960.0,142.2,57.5,0,0
960.0,142.2,57.7,0,0
960.0,142.2,55.3,0,0
1065.0,107.7,52.8,0,0
1065.0,114.1,57.2,0,0
1065.0,152.1,57.6,0,0
1065.0,152.4,58.0,0,0
1065.0,152.6,58.3,0,0
1065.0,149.4,58.3,0,0
1065.0,149.4,58.6,0,0
1065.0,149.2,58.8,0,0
1065.0,152.3,59.0,0,922
1065.0,153.5,58.6,1332,1068
1065.0,151.2,59.0,1087,842
1065.0,149.6,59.2,1006,796
1065.0,151.9,59.1,1001,861
1065.0,152.3,59.2,1030,950
1065.0,148.7,59.2,1072,1033
1065.0,148.6,59.3,1105,1086
1065.0,152.2,59.3,1126,1121
1065.0,152.4,59.3,1140,1140
1065.0,152.5,59.2,1149,1149
1065.0,149.6,59.2,1154,1153
1065.0,149.6,59.3,1154,1154
1065.0,152.3,59.2,1156,1157
1065.0,152.4,58.7,1156,1158
1065.0,149.4,59.2,1157,1158
1065.0,149.4,59.2,1155,1158
1065.0,152.5,59.2,1157,1158
1065.0,152.5,59.2,1161,1160
1170.0,148.9,54.1,1161,1165
1170.0,109.8,53.2,1161,1167
1170.0,147.0,56.2,1128,1127
1170.0,161.5,56.7,1127,1125
1170.0,161.6,56.9,1129,1126
1170.0,161.6,57.0,1129,1126
1170.0,161.7,56.0,1132,1131
1170.0,157.9,57.3,1130,1131
1170.0,157.9,57.4,1129,1132
1170.0,162.0,57.5,1129,1129
1170.0,162.4,57.6,1129,1131
1170.0,162.5,56.5,1132,1132
1170.0,159.0,57.7,1130,1129
1170.0,158.9,57.7,1129,1130
1170.0,162.2,57.7,1130,1127
1170.0,162.0,57.8,1129,1128
1170.0,162.5,57.3,1129,1131
1170.0,159.2,57.8,1129,1132
1170.0,158.8,58.0,1128,1130
1170.0,162.6,58.0,1129,1132
1170.0,162.4,58.0,1128,1131
1170.0,161.9,57.6,1134,1132
1170.0,158.6,58.0,1133,1133
1170.0,158.7,58.1,1132,1132
1170.0,162.1,58.1,1129,1133
1170.0,162.1,53.6,1131,1136
1275.0,120.2,51.8,1134,1139
1275.0,111.4,55.5,0,0
1275.0,169.3,56.1,0,0
1275.0,169.8,56.5,0,0
1275.0,169.8,56.8,0,0
1275.0,169.9,56.8,0,0
1275.0,166.2,57.4,0,0
1275.0,167.5,57.5,0,0
1275.0,172.3,57.8,0,0
1275.0,172.6,56.8,0,0
1275.0,169.2,58.1,0,0
1275.0,169.2,58.4,0,0
1275.0,172.0,58.6,0,0
1275.0,173.9,58.7,1390,1391
1275.0,175.2,58.5,1055,979
1275.0,171.2,58.7,931,857
1275.0,168.5,58.8,932,867
1275.0,171.8,58.8,986,928
1275.0,168.4,57.7,1034,996
1275.0,168.2,58.9,1080,1057
1275.0,168.3,59.0,1113,1096
1275.0,172.0,59.0,1130,1122
1275.0,153.3,53.8,1144,1139
1380.0,105.7,52.3,1152,1150
1380.0,103.7,56.0,1098,1097
1380.0,175.9,56.8,1091,1088
1380.0,183.4,57.2,1064,1063
1380.0,183.7,57.5,1032,1036
1380.0,179.6,57.3,1004,1006
1380.0,179.5,57.8,985,989
1380.0,179.4,58.0,983,990
1380.0,183.8,58.1,1006,1009
1380.0,183.8,57.8,1039,1037
1380.0,179.9,58.3,1068,1063
1380.0,179.8,58.4,1087,1083
1380.0,183.7,58.4,1100,1096
1380.0,183.1,57.7,1110,1105
1380.0,178.1,58.5,1114,1110
1380.0,177.8,58.6,1120,1114
1380.0,181.8,58.8,1122,1121
1380.0,181.7,58.8,1122,1122
1380.0,175.5,58.6,1125,1124
1380.0,175.5,58.9,1128,1129
1380.0,181.6,58.9,1130,1128
1380.0,182.2,52.8,1132,1134
1485.0,135.1,51.5,1135,1139
1485.0,100.7,56.6,0,0
1485.0,191.8,57.4,0,0
1485.0,195.4,57.8,0,0
1485.0,195.6,58.3,0,0
1485.0,196.2,58.2,0,0
1485.0,191.4,58.7,0,0
1485.0,191.5,58.9,0,0
1485.0,195.8,59.1,0,0
1485.0,194.7,59.4,1040,1370
1485.0,195.7,59.3,1215,945
1485.0,192.0,59.5,1043,800
1485.0,195.4,59.6,993,820
1485.0,195.4,59.6,1011,901
1485.0,189.8,58.7,1051,988
1485.0,189.4,59.7,1090,1062
1485.0,190.1,59.9,1118,1110
1485.0,195.5,59.9,1138,1137
1485.0,196.0,60.1,1152,1152
1485.0,175.3,53.8,1162,1166
1590.0,117.7,52.2,1169,1177
1590.0,120.6,58.0,1108,1103
1590.0,120.6,58.0,1108,1103
1590.0,209.2,58.9,1105,1099
1590.0,220.9,59.2,1104,1100
1590.0,221.3,59.6,1102,1099
1590.0,221.1,59.4,1104,1105
1590.0,215.1,60.0,1105,1106
1590.0,215.4,60.2,1110,1109
1590.0,221.3,60.5,1119,1116
1590.0,222.1,58.5,1130,1129
1590.0,216.5,60.5,1140,1139
1590.0,216.1,60.8,1152,1149
1590.0,222.4,60.9,1161,1159
1590.0,222.8,61.0,1170,1167
1590.0,217.3,60.9,1177,1176
1590.0,216.7,61.2,1182,1181
1590.0,217.0,61.2,1188,1184
1590.0,222.1,61.3,1189,1189
1590.0,221.9,54.8,1198,1198
1695.0,173.6,52.4,1203,1210
1695.0,105.8,51.8,1204,1213
1695.0,145.0,60.4,1099,1096
1695.0,247.3,61.2,1098,1094
1695.0,255.0,61.4,1098,1096
1695.0,255.2,61.0,1105,1103
1695.0,247.8,62.0,1116,1113
1695.0,247.6,62.2,1134,1130
1695.0,255.8,62.6,1154,1149
1695.0,255.6,61.6,1175,1171
1695.0,248.6,62.9,1192,1189
1695.0,249.3,63.1,1208,1202
1695.0,256.2,63.3,1218,1213
1695.0,254.1,61.2,1231,1228
1695.0,248.3,63.3,1238,1234
1695.0,248.4,63.6,1245,1242
1695.0,256.4,63.8,1251,1249
1695.0,256.6,63.1,1257,1253
1695.0,185.6,53.8,1271,1275
1800.0,103.2,52.7,1277,1281
1785.0,165.5,61.9,1114,1107
1785.0,280.7,62.9,1109,1103
1770.0,289.5,63.5,1107,1102
1755.0,288.5,64.1,1116,1113
1770.0,289.2,63.7,1135,1131
1755.0,283.2,64.6,1163,1157
1755.0,283.4,64.7,1193,1188
1770.0,289.4,65.3,1222,1214
1770.0,288.7,65.1,1249,1240
1770.0,282.3,65.2,1269,1260
1770.0,282.5,65.9,1285,1278
1755.0,287.5,66.2,1298,1290
1740.0,289.5,66.0,1307,1300
1755.0,288.8,65.0,1317,1315
1755.0,283.0,66.5,1325,1321
1800.0,285.6,59.9,1336,1336
1905.0,236.1,55.0,1350,1351
1905.0,140.6,53.8,1361,1361
1740.0,212.5,62.4,1132,1127
1770.0,288.5,64.0,1131,1127
1755.0,289.1,64.1,1136,1130
1770.0,289.3,64.2,1152,1147
1755.0,286.0,65.1,1173,1167
1755.0,288.8,64.9,1198,1193
1770.0,289.2,65.6,1222,1217
1755.0,288.8,65.6,1249,1244
1770.0,289.5,65.6,1272,1263
1755.0,284.3,66.3,1291,1282
1770.0,287.9,66.1,1304,1296
1740.0,289.2,66.5,1316,1311
1830.0,289.2,66.6,1325,1321
1770.0,289.8,66.8,1336,1332
1740.0,282.7,66.3,1345,1340
1935.0,283.3,56.0,1360,1364
1950.0,205.0,54.6,1368,1371
1950.0,111.9,54.0,1366,1371
1770.0,132.5,61.8,1157,1155
1770.0,249.0,62.9,1149,1147
1770.0,289.3,63.9,1148,1143
1770.0,288.2,64.2,1149,1146
1770.0,289.5,64.9,1157,1158
1770.0,283.6,65.2,1177,1178
1710.0,286.9,64.9,1205,1201
1770.0,289.8,66.0,1234,1226
1740.0,289.4,65.6,1257,1250
1755.0,290.0,65.4,1281,1270
1755.0,283.7,66.2,1297,1288
1755.0,285.1,66.3,1311,1302
1755.0,285.1,66.3,1311,1302
1770.0,289.0,66.7,1322,1315
1755.0,288.0,66.8,1333,1329
1740.0,286.9,67.2,1342,1337
1740.0,287.9,66.9,1348,1347
1935.0,270.8,57.2,1366,1369
1950.0,176.3,55.2,1376,1382
1785.0,153.5,63.1,1164,1159
1770.0,269.2,63.9,1160,1155
1785.0,289.3,64.2,1157,1153
1770.0,287.1,64.8,1162,1158
1785.0,289.7,64.8,1176,1176
1770.0,285.1,65.5,1199,1197
1770.0,287.1,65.6,1225,1220
1755.0,289.0,65.8,1251,1247
1755.0,287.4,66.1,1275,1265
1755.0,283.7,66.4,1294,1287
1740.0,285.7,65.9,1308,1302
1755.0,285.5,66.6,1319,1313
1725.0,289.3,66.2,1330,1326
1725.0,289.0,66.2,1341,1336
1770.0,283.8,67.1,1345,1342
1935.0,286.0,58.5,1356,1357
1935.0,251.8,55.6,1368,1373
1935.0,159.1,54.6,1373,1378
