"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"885","885","885","885","9251","9251","9251","True","0","none","171.85","160.66","173.58","53.3","54","99.3","152.23","True","18.773","15.483","15.6853","0.2023","8521695671436.496","FLOP/s","True","29","35","0x0000000000000001;0x0000000000000000"
"990","990","990","990","9251","9251","9251","True","0","none","175.35","39.68","181.95","51.4","52","98.9","155.77","True","17.011","13.8523","14.0553","0.203","9524849891759.51","FLOP/s","True","26","31","0x0000000000000001;0x0000000000000000"
"1095","1095","1095","1095","9251","9251","9251","True","0","none","182.76","36.69","192.07","52.2","54","97.1","160.88","True","15.524","12.5383","12.7526","0.2142","10523044856298.844","FLOP/s","True","24","29","0x0000000000000001;0x0000000000000000"
"1215","1215","1215","1215","9251","9251","9251","True","0","none","195.43","104.58","202.32","52.5","53","99.8","168.96","True","13.909","11.3107","11.4455","0.1349","11665189657420.043","FLOP/s","True","22","26","0x0000000000000001;0x0000000000000000"
"1320","1320","1320","1320","9251","9251","9251","True","0","none","205.33","114.45","214.3","53.2","55","100","175.55","True","13.171","10.4165","10.5487","0.1322","12666601180671.363","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"1425","1425","1425","1425","9251","9251","9251","True","0","none","212.64","94.67","224.73","53.6","55","100","180.55","True","12.386","9.6238","9.7683","0.1446","13709924724344.133","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"1545","1545","1545","1545","9251","9251","9251","True","0","none","230.44","107.57","244.15","54.4","56","98.5","193.65","True","11.773","8.881","9.0336","0.1527","14856644226410.785","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"1650","1650","1650","1650","9251","9251","9251","True","0","none","249.16","47.36","265.36","55.1","57","96.9","204.74","True","10.712","8.3223","8.4618","0.1395","15853914646656.217","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"1755","1755","1755","1755","9251","9251","9251","True","0","none","280.6","109.84","300.87","57.9","60","97.3","227.79","True","10.174","7.8237","7.9275","0.1038","16864321479639.602","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1860","1764","1710","1785","9251","9251","9251","False","-96","below","290.28","55.22","310.02","58.2","60","97.8","235.87","True","10.261","7.7562","7.8692","0.113","17011099803562.033","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004"
"1965","1764","1620","1785","9251","9251","9251","False","-201","below","289.1","109.38","309.6","58.8","61","97","235.31","True","10.167","7.7491","7.8821","0.1329","17026634571974.688","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004"
"2085","1765","1680","1800","9251","9251","9251","False","-320","below","298.65","177.62","311.44","58.9","61","99.7","243.43","True","10.248","7.7453","7.8584","0.1131","17035085815902.445","FLOP/s","True","15","19","0x0000000000000004;0x0000000000000000"
"2190","1772","1695","1800","9251","9251","9251","False","-418","below","289.1","100.92","311.75","58.9","61","97.5","236.06","True","10.23","7.7382","7.8451","0.1069","17050645053703.88","FLOP/s","True","15","19","0x0000000000000004;0x0000000000000000"
