"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","129.93","98.82","132.76","47.6","50","97.5","113.82","True","19.307","16.0231","16.3237","0.3006","8234457921994.447","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","138.4","102.23","141.12","52.1","54","98.4","119.94","True","17.38","14.285","14.51","0.225","9236363629390.918","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","143.72","19.23","151.15","55.8","58","95.5","126.74","True","16.068","12.8902","13.1193","0.2291","10235821423865.307","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","155.49","81.77","163.09","58","59","93.2","134.79","True","14.604","11.7443","11.8938","0.1496","11234524940451.426","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","163.69","66.62","173.01","57.2","58","97.9","140.21","True","13.399","10.7978","10.9428","0.145","12219294596781.055","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","171.21","74.21","182.42","58","60","97.8","145.9","True","12.871","9.9423","10.1015","0.1592","13270685510873.678","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","185.65","91.69","195.63","58.8","60","97.9","155.39","True","11.771","9.2329","9.37","0.1371","14290334672126.258","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","9251","9251","9251","True","0","none","207.53","45.48","227.4","60.3","62","99.1","172.03","True","11.369","8.5565","8.6941","0.1376","15419955346777.305","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9251","9251","9251","True","0","none","243.24","65.85","265.99","62.5","65","100","200.14","True","10.711","8.0322","8.1758","0.1436","16426588812521.605","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"1815","1765","1740","1785","9251","9251","9251","False","-50","below","273.08","125.91","289.59","64.3","66","99.6","220.78","True","10.185","7.7812","7.8934","0.1121","16956352444830.81","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1920","1762","1740","1770","9251","9251","9251","False","-158","below","267.37","74.09","289.64","64.5","67","100","217.24","True","10.255","7.7956","7.903","0.1074","16925092114117.543","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004"
"2025","1762","1740","1785","9251","9251","9251","False","-263","below","277.14","150.23","289.96","64.9","67","97.9","225.53","True","10.208","7.7926","7.9005","0.108","16931721576390.094","FLOP/s","True","15","19","0x0000000000000004;0x0000000000000000"
"2130","1764.6","1755","1785","9251","9251","9251","False","-365.4","below","267.37","84.81","289.96","64.5","67","97.8","218.57","True","10.456","7.7938","7.9013","0.1075","16928912385737.307","FLOP/s","True","14","19","0x0000000000000004;0x0000000000000000"
