"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","130.81","34.24","144.45","51.7","53","99.5","103.3","True","9.231","7.0297","7.1294","0.0997","549875505900.32","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","127.83","15.89","145.18","53.5","55","93.8","107.86","True","9.105","7.0297","7.1258","0.0961","549877265890.6965","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","133.31","46.63","145.46","55.7","57","95.1","105.33","True","9.188","7.0282","7.1329","0.1046","549992456331.0767","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","139.48","78.28","146.48","57.3","58","100","110.27","True","9.089","7.0286","7.1275","0.0989","549961782152.7085","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9268.9","9251","9501","True","0","none","128.52","16.22","147.4","55.1","56","92.7","108.7","True","9.232","7.0277","7.1356","0.1079","550036313829.0331","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","132.29","26.4","147.59","53.9","55","99.7","105.31","True","9.13","7.0279","7.139","0.1111","550018954689.6487","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","139.95","75.54","148.09","55.9","57","100","111.34","True","9.175","7.0255","7.1314","0.106","550209636577.7335","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","8648.1","810","9251","True","0","none","136.77","19.54","158.57","57.4","59","88.7","116.07","True","9.165","7.0221","7.1227","0.1006","550470727102.3287","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9251","9251","9251","True","0","none","159.94","93.94","167.92","56.8","57","100","127.92","True","9.152","7.0201","7.1289","0.1088","550627051738.8748","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"1815","1815","1815","1815","8648.1","810","9251","True","0","none","157.52","24.01","181.02","55.5","57","92.9","133.97","True","9.188","7.0179","7.1253","0.1074","550801940017.4822","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"1920","1920","1920","1920","8648.1","810","9251","True","0","none","178.48","27.41","204.92","55.9","58","91.7","151.79","True","9.191","7.0187","7.1301","0.1114","550739347222.9371","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2025","1950","1950","1950","8648.1","810","9251","False","-75","below","186.64","29.75","215.91","57","59","92.9","159.02","True","9.078","7.017","7.1216","0.1045","550872067748.9614","byte/s","True","14","17","0x0000000000000000"
"2130","1950","1950","1950","9251","9251","9251","False","-180","below","194.54","61.32","214.27","57.7","59","96.4","155.82","True","9.177","7.0184","7.1291","0.1107","550763155292.8997","byte/s","True","13","17","0x0000000000000000"
