"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","8782.1","810","9251","True","0","none","131.6","14.61","145.47","51.6","53","94.6","102.46","True","1790292011.1145","1790292020.4289","13.012","9.1497","9.3117","0.162","562771202914.9194","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"960","960","960","960","8754.5","810","9251","True","0","none","132.6","16.01","147.43","53.9","55","94.3","103.76","True","1790292032.066","1790292041.3333","12.976","9.1282","9.2631","0.1349","564097130400.6874","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","8754.5","810","9251","True","0","none","133.2","15.06","148.31","55.8","57","94.2","104.26","True","1790292053.1196","1790292062.4058","12.955","9.1265","9.2863","0.1598","564200838800.0494","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","8754.5","810","9251","True","0","none","134.67","15.76","151.75","57.6","59","94.1","105.35","True","1790292074.1324","1790292083.398","13.019","9.1162","9.2652","0.1489","564837583581.1107","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","8754.5","810","9251","True","0","none","132.93","17.09","149.69","54.5","55","90.9","104.69","True","1790292095.2265","1790292104.4889","13.038","9.1126","9.2649","0.1524","565066765329.111","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","8754.5","810","9251","True","0","none","137.77","18.8","150.34","52.3","53","88.7","108.25","True","1790292116.3174","1790292125.5737","12.999","9.1","9.2587","0.1587","565845438766.743","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","139.14","37.13","150.62","54.4","56","95.4","109.4","True","1790292137.3371","1790292146.5996","12.959","9.1009","9.265","0.1641","565792173542.3049","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","145.7","36.37","158.33","57.1","58","95.4","114.71","True","1790292158.3556","1790292167.5945","12.929","9.0828","9.2389","0.1562","566918264813.5049","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","152.5","27.25","167.65","55.9","57","97.1","120.41","True","1790292179.4279","1790292188.6615","12.965","9.0767","9.2352","0.1585","567297069089.6276","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","164.12","28.34","179.75","55.2","56","95.8","129.95","True","1790292200.4478","1790292209.6848","13.028","9.0637","9.2331","0.1694","568109953394.056","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","182.4","29.33","204.06","57.6","60","94.8","144.56","True","1790292221.4723","1790292230.7072","12.999","9.0658","9.2328","0.167","567982423121.4261","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"2010","1945.6","1935","1950","9251","9251","9251","False","-64.4","below","197.05","39.46","215.32","57.8","59","97.1","156.6","True","1790292242.5054","1790292251.7158","13.001","9.0543","9.212","0.1577","568701862124.1937","byte/s","True","17","24","0x0000000000000600;0x0000000000000400"
"2115","1949.1","1935","1950","9265.7","9251","9501","False","-165.9","below","195.35","33.92","215.35","57.1","59","94.8","155.2","True","1790292263.5518","1790292272.7832","13.008","9.0623","9.2245","0.1622","568198483078.2242","byte/s","True","17","24","0x0000000000000600;0x0000000000000400"
