target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,329.84272013247374,125.59,8867.3,1790292290.728,1790292302.6593,0.819,1335.0,24,-420
960,960.0,347.2753283543247,132.44,9251.0,1790292314.5566,1790292325.9073,0.819,1335.0,23,-420
1065,1065.0,363.67548409951917,134.67,8829.0,1790292337.8966,1790292348.7592,0.819,1335.0,21,-420
1170,1170.0,377.2797267463302,140.17,9251.0,1790292360.3981,1790292370.8619,0.819,1335.0,21,-420
1275,1275.0,388.0436881762594,140.83,9264.2,1790292382.5841,1790292392.7335,0.819,1335.0,20,-420
1380,1380.0,396.8773987288619,141.93,8806.7,1790292404.1823,1790292414.1207,0.819,1335.0,20,-420
1485,1485.0,405.44337554202497,144.44,8782.1,1790292425.7496,1790292435.4488,0.819,1410.0,20,-420
1590,1590.0,413.19388775879884,154.5,9251.0,1790292447.4033,1790292456.942,0.85,1515.0,19,-420
1695,1695.0,419.3943019644066,169.18,9251.0,1790292468.5346,1790292477.9453,0.9,1605.0,18,-420
1800,1800.0,425.9125175493445,184.07,9251.0,1790292489.547,1790292498.8183,0.956,1710.0,18,-420
1905,1905.0,431.1551273178633,211.72,9251.0,1790292510.508,1790292519.6572,1.031,1800.0,19,-420
2010,1937.6,432.96227233247686,222.71,8754.5,1790292531.6116,1790292540.6979,1.069,1830.0,18,-420
2115,1938.5,432.987254188145,221.58,8754.5,1790292552.6627,1790292561.7644,1.069,1830.0,18,-420
