target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,274.9968453557542,139.58,8829.0,1790292579.7896,1790292590.7466,0.819,1335.0,22,-420
960,960.0,287.89913596494273,149.64,9251.0,1790292602.461,1790292612.9255,0.819,1335.0,21,-420
1065,1065.0,298.8540804830354,150.09,9251.0,1790292624.5908,1790292634.6195,0.819,1335.0,20,-420
1170,1170.0,307.3229805323372,150.99,8782.1,1790292646.1653,1790292655.9134,0.819,1335.0,20,-420
1275,1275.0,313.62171553420933,152.19,8782.1,1790292667.7673,1790292677.3476,0.819,1335.0,20,-420
1380,1380.0,318.69361766980666,155.56,8782.1,1790292689.3958,1790292698.822,0.819,1335.0,18,-420
1485,1485.0,323.7240034042877,162.23,9251.0,1790292710.3508,1790292719.6603,0.819,1410.0,19,-420
1590,1590.0,326.3782221360788,171.5,9251.0,1790292731.424,1790292740.6343,0.85,1515.0,19,-420
1695,1695.0,327.64755084738863,182.4,9251.0,1790292752.552,1790292761.714,0.894,1605.0,18,-420
1800,1800.0,328.56539994898156,197.45,9251.0,1790292773.6042,1790292782.7664,0.95,1695.0,18,-420
1905,1905.0,328.93990248818346,228.27,8754.5,1790292794.6683,1790292803.8136,1.038,1800.0,18,-420
2010,1936.8,329.19587171322263,239.1,8754.5,1790292815.7716,1790292824.9236,1.069,1830.0,18,-420
2115,1936.8,329.07882821984003,238.99,8754.5,1790292836.7747,1790292845.9096,1.069,1830.0,18,-420
