target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,6122.546998871679,153.4,9251.0,1790293500.1336,1790293515.0865,0.812,1335.0,29,-420
960,960.0,6872.410768353565,165.51,9251.0,1790293527.0831,1790293540.4074,0.812,1335.0,27,-420
1065,1065.0,7611.709931660434,174.89,8867.3,1790293552.0479,1790293564.0428,0.812,1335.0,24,-420
1170,1170.0,8355.142328987273,182.31,8829.0,1790293575.8156,1790293586.7856,0.812,1335.0,22,-420
1275,1275.0,9074.617738792775,196.96,9251.0,1790293598.5117,1790293608.5792,0.812,1335.0,20,-420
1380,1380.0,9762.320926769517,204.99,9251.0,1790293620.0614,1790293629.4389,0.812,1335.0,19,-420
1485,1485.0,10136.391582064809,214.4,9251.0,1790293641.0946,1790293650.1066,0.812,1410.0,18,-420
1590,1590.0,9787.7660842386,227.18,9251.0,1790293661.593,1790293670.9157,0.85,1515.0,18,-420
1695,1695.0,9887.380724684028,246.66,9251.0,1790293682.716,1790293691.9616,0.9,1605.0,18,-420
1800,1768.2,9859.806732754576,256.62,8754.5,1790293703.9116,1790293713.1756,0.931,1665.0,19,-420
1905,1783.2,9862.7721031656,255.71,8754.5,1790293724.9215,1790293734.1988,0.931,1665.0,19,-420
2010,1777.1,9862.204015382646,259.26,8754.5,1790293746.0152,1790293755.2856,0.931,1665.0,19,-420
2115,1753.2,9869.533787110582,267.06,9251.0,1790293767.0682,1790293776.3401,0.925,1650.0,19,-420
