"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","117.39","115.58","119.14","54","56","97.7","101.36","True","1790294432.8421","1790294453.2701","24.949","20.0632","20.4261","0.3629","2745465983662.4883","FLOP/s","True","37","46","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","122.51","83.07","126.02","57.6","58","100","105.01","True","1790294465.7769","1790294483.9469","22.754","17.9467","18.1709","0.2241","3069244336100.7324","FLOP/s","True","34","42","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","126.62","53.44","131.08","54.9","55","99","106.23","True","1790294496.4971","1790294512.9652","20.618","16.2511","16.4679","0.2168","3389492089231.427","FLOP/s","True","31","38","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","133.7","88.52","137.29","55.3","57","97","110.88","True","1790294525.1585","1790294540.2397","19.514","14.8453","15.0802","0.2349","3710468392210.7476","FLOP/s","True","28","36","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","141.09","85.93","145.64","58.5","59","98.9","115.22","True","1790294552.7128","1790294566.6222","17.842","13.6628","13.9106","0.2478","4031610519892.786","FLOP/s","True","26","33","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","147.05","105.97","150.74","56.3","57","98.5","118.84","True","1790294578.5937","1790294591.4769","16.897","12.6817","12.8803","0.1986","4343498277546.001","FLOP/s","True","24","31","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","151.56","102.96","155.84","56.1","58","98.4","120.97","True","1790294603.6086","1790294615.6009","16.236","11.8165","11.992","0.1755","4661537442789.225","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","166.19","78.46","175.72","58.1","59","99","129.81","True","1790294627.8046","1790294639.0794","15.215","11.0874","11.2722","0.1848","4968081255913.947","FLOP/s","True","21","28","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","189.62","110.65","198.16","58.8","60","97.7","146.56","True","1790294651.1423","1790294661.7414","14.616","10.4456","10.6","0.1544","5273327424728.074","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","217","85.77","230.31","60.2","62","99.9","165.48","True","1790294673.8244","1790294683.8572","14.072","9.8827","10.0354","0.1527","5573686718544.044","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","258.05","75.69","279.39","63.5","66","97.8","194.11","True","1790294695.9064","1790294705.4705","13.53","9.4065","9.5607","0.1542","5855833352180.428","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"2010","1918.2","1890","1935","9251","9251","9251","False","-91.8","below","279.56","188.8","288.65","64.7","67","97.9","210.55","True","1790294717.4635","1790294726.9776","13.574","9.3519","9.509","0.1572","5890039879375.388","FLOP/s","True","17","25","0x0000000000000404;0x0000000000000004;0x0000000000000600;0x0000000000000400"
"2115","1916.5","1905","1935","9251","9251","9251","False","-198.5","below","277.89","162.11","289.04","65.1","67","98.1","209.59","True","1790294739.0735","1790294748.5699","13.594","9.3549","9.4958","0.1409","5888132634166.448","FLOP/s","True","17","25","0x0000000000000404;0x0000000000000004;0x0000000000000400"
