target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,8875.408481675724,135.81,9251.0,1790294766.7858,1790294783.785,0.812,1335.0,34,-420
960,960.0,9805.762399103434,146.56,9251.0,1790294795.9863,1790294811.3847,0.812,1335.0,31,-420
1065,1065.0,10700.408319788245,156.88,9251.0,1790294823.5066,1790294837.5895,0.819,1335.0,28,-420
1170,1170.0,11567.11666386088,163.37,9251.0,1790294849.3467,1790294862.4184,0.812,1335.0,26,-420
1275,1275.0,12394.918641522785,166.04,9251.0,1790294874.2337,1790294886.3829,0.812,1335.0,25,-420
1380,1380.0,13204.525568856252,174.44,9251.0,1790294898.6409,1790294910.0565,0.812,1335.0,23,-420
1485,1485.0,13994.674462680701,183.1,9251.0,1790294922.3803,1790294933.1723,0.812,1410.0,22,-420
1590,1590.0,14766.375062119536,205.26,9251.0,1790294945.0603,1790294955.2583,0.85,1515.0,20,-420
1695,1695.0,15519.572654089248,229.54,9251.0,1790294967.165,1790294976.8684,0.894,1605.0,19,-420
1800,1800.0,16242.966978119717,262.4,9251.0,1790294988.8322,1790294998.121,0.956,1710.0,19,-420
1905,1785.9,16254.341710018321,280.82,9251.0,1790295010.324,1790295019.5798,0.963,1725.0,19,-420
2010,1801.8,16240.647313016012,279.19,9251.0,1790295031.4757,1790295040.7574,0.956,1710.0,19,-420
2115,1800.9,16234.67747280739,276.52,9251.0,1790295053.03,1790295062.3278,0.956,1710.0,19,-420
