"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","129.01","102.58","131.96","55.7","58","99.8","106.43","True","1790295081.2608","1790295097.8113","21.143","16.238","16.5522","0.3142","8125463724074.779","FLOP/s","True","30","39","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","136.75","87.03","141.78","58.6","59","97.5","112.85","True","1790295110.3561","1790295125.0748","19.046","14.4794","14.7153","0.2359","9112355042681.514","FLOP/s","True","27","35","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","145.62","71.01","151.65","56.6","57","98.4","118.15","True","1790295137.4112","1790295150.7109","17.859","13.0565","13.2989","0.2424","10105409111800.154","FLOP/s","True","25","33","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","154.14","98.99","159.76","57","59","96.4","122.42","True","1790295163.2291","1790295175.2897","16.264","11.8953","12.0595","0.1642","11091858263919.564","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","159.31","56.12","170.52","57.6","59","97.6","124.22","True","1790295187.5034","1790295198.5741","15.171","10.9238","11.0703","0.1465","12078320602541.268","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","173.22","103.32","180.75","58.1","59","98.4","131.87","True","1790295210.6674","1790295220.8932","14.051","10.0684","10.2238","0.1554","13104548583329.586","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","183.2","92.6","193.48","58.6","60","99.9","137.95","True","1790295232.7413","1790295242.2598","13.569","9.3498","9.521","0.1712","14111627755959.133","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","206.93","90.61","221.72","59.8","61","97.6","153.35","True","1790295254.372","1790295263.2537","12.97","8.7332","8.8821","0.1489","15108046159037.277","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","240.99","101.85","258.15","61.9","64","100","175.22","True","1790295275.3531","1790295283.7237","12.452","8.1924","8.3662","0.1738","16105346077708.352","FLOP/s","True","15","23","0x0000000000000001;0x0000000000000000"
"1800","1770","1755","1785","9251","9251","9251","True","-30","none","271.98","110.87","289.86","63.9","66","99.7","193.55","True","1790295295.8655","1790295303.8465","11.919","7.8577","7.9791","0.1214","16791382405121.246","FLOP/s","True","15","22","0x0000000000000001;0x0000000000000004"
"1905","1770","1725","1800","9251","9251","9251","False","-135","below","273.09","124.55","289.92","63.9","66","97.1","196.06","True","1790295315.8264","1790295323.7956","11.98","7.8557","7.9746","0.1188","16795592586401.47","FLOP/s","True","14","22","0x0000000000000001;0x0000000000000004"
"2010","1767","1740","1785","9251","9251","9251","False","-243","below","266.95","77.63","289.55","63.9","66","97.5","192.47","True","1790295335.9888","1790295343.9406","11.948","7.8346","7.9526","0.118","16840866918571.56","FLOP/s","True","15","22","0x0000000000000004;0x0000000000000600"
"2115","1766","1680","1785","9251","9251","9251","False","-349","below","268.32","87.9","289.54","64.1","66","97.5","193.22","True","1790295355.9524","1790295363.9287","11.949","7.8527","7.9785","0.1258","16801972904782.117","FLOP/s","True","15","22","0x0000000000000004;0x0000000000000600"
