target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,8125.46372407478,129.01,9251.0,1790295081.2608,1790295097.8113,0.819,1335.0,33,-420
960,960.0,9112.355042681515,136.75,9251.0,1790295110.3561,1790295125.0748,0.812,1335.0,29,-420
1065,1065.0,10105.409111800154,145.62,9251.0,1790295137.4112,1790295150.7109,0.819,1335.0,26,-420
1170,1170.0,11091.858263919565,154.14,9251.0,1790295163.2291,1790295175.2897,0.819,1335.0,24,-420
1275,1275.0,12078.320602541267,159.31,9251.0,1790295187.5034,1790295198.5741,0.812,1335.0,22,-420
1380,1380.0,13104.548583329586,173.22,9251.0,1790295210.6674,1790295220.8932,0.812,1335.0,21,-420
1485,1485.0,14111.627755959133,183.2,9251.0,1790295232.7413,1790295242.2598,0.812,1410.0,19,-420
1590,1590.0,15108.046159037278,206.93,9251.0,1790295254.372,1790295263.2537,0.85,1515.0,18,-420
1695,1695.0,16105.346077708351,240.99,9251.0,1790295275.3531,1790295283.7237,0.9,1605.0,17,-420
1800,1770.0,16791.382405121247,271.98,9251.0,1790295295.8655,1790295303.8465,0.938,1680.0,16,-420
1905,1770.0,16795.59258640147,273.09,9251.0,1790295315.8264,1790295323.7956,0.938,1680.0,16,-420
2010,1767.0,16840.86691857156,266.95,9251.0,1790295335.9888,1790295343.9406,0.938,1665.0,16,-420
2115,1766.0,16801.972904782117,268.32,9251.0,1790295355.9524,1790295363.9287,0.938,1680.0,16,-420
