"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","8782.1","810","9251","True","0","none","126.76","14.75","140.87","51.4","53","94.4","98.79","True","1790296585.1524","1790296594.4177","13.005","9.1215","9.2625","0.141","539254907981.03125","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","131.91","39.71","142.25","53.6","55","94.5","97.89","True","1790296606.3353","1790296615.6168","12.995","9.1158","9.2806","0.1648","539591601296.38074","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","132.28","35.52","142.87","55.5","57","95.8","98.17","True","1790296627.3682","1790296636.6239","12.944","9.1102","9.2534","0.1432","539922853862.7066","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","8782.1","810","9251","True","0","none","126.11","15.39","145.06","56.7","58","90.9","98.45","True","1790296648.3734","1790296657.6355","12.991","9.1122","9.2654","0.1532","539804857712.49994","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","8782.1","810","9251","True","0","none","129.39","19.37","148.19","54.3","55","92.1","102.07","True","1790296669.4548","1790296678.7152","13.027","9.1026","9.26","0.1574","540371530804.7365","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","8782.1","810","9251","True","0","none","137.73","19.74","151.03","53.7","55","94.5","108.38","True","1790296690.4962","1790296699.7411","12.979","9.0997","9.2474","0.1478","540547223291.4742","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","140.11","21.12","154.72","56.4","58","94.5","110.39","True","1790296711.5648","1790296720.8132","12.971","9.0992","9.2514","0.1521","540572037048.61664","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","149.42","79.53","156.75","56.6","58","100","112.19","True","1790296732.6207","1790296741.8915","13.043","9.0945","9.2705","0.176","540853185013.6319","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","153.23","68.78","162.02","56.6","58","100","115.24","True","1790296753.7338","1790296762.9865","12.998","9.0881","9.2536","0.1655","541235027294.41327","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","8782.1","810","9251","True","0","none","158.19","24.88","177.72","56.6","58","94.4","124.87","True","1790296774.7188","1790296783.9671","12.975","9.0832","9.2469","0.1637","541528938059.96466","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","8754.5","810","9251","True","0","none","174.85","28.86","197.07","56.5","58","92.8","139.02","True","1790296795.8006","1790296805.0284","12.995","9.082","9.2297","0.1477","541598635596.0258","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"2010","1949.1","1935","1950","8754.5","810","9251","False","-60.9","below","186.47","31.28","212.11","56.9","59","92.2","148.52","True","1790296816.8006","1790296826.0361","13.02","9.0813","9.2333","0.152","541638116365.2272","byte/s","True","17","24","0x0000000000000600;0x0000000000000400"
"2115","1942.9","1935","1950","8754.5","810","9251","False","-172.1","below","182.23","30.75","209.88","56.2","58","88.8","145.4","True","1790296837.9182","1790296847.1637","13.01","9.0821","9.2472","0.1651","541594300218.7506","byte/s","True","17","24","0x0000000000000400"
